Date,Sales,GrowthRate
30-06-2013,36,-0.058823529
30-09-2013,38,-0.055555556
31-12-2013,40,-0.052631579
31-03-2014,42,-0.05
30-06-2014,43,-0.023809524
30-09-2014,43,0
31-12-2014,45,-0.046511628
31-03-2015,36,0.2
30-06-2015,40,-0.111111111
30-09-2015,56,-0.4
31-12-2015,68,-0.214285714
31-03-2016,67,0.014705882
30-06-2016,78,-0.164179104
30-09-2016,70,0.102564103
31-12-2016,80,-0.142857143
31-03-2017,79,0.0125
30-06-2017,84,-0.063291139
30-09-2017,84,0
31-12-2017,93,-0.107142857
31-03-2018,96,-0.032258065
30-06-2018,96,0
30-09-2018,89,0.072916667
31-12-2018,100,-0.123595506
31-03-2019,94,0.06
30-06-2019,100,-0.063829787
30-09-2019,102,-0.02
31-12-2019,112,-0.098039216
31-03-2020,95,0.151785714
30-06-2020,66,0.305263158
30-09-2020,99,-0.5
31-12-2020,108,-0.090909091
31-03-2021,104,0.037037037
30-06-2021,112,-0.076923077
30-09-2021,109,0.026785714
31-12-2021,138,-0.266055046
31-03-2022,127,0.079710145
30-06-2022,130,-0.023622047
30-09-2022,118,0.092307692
31-12-2022,141,-0.194915254
31-03-2023,143,-0.014184397
30-06-2023,146,-0.020979021
30-09-2023,142,0.02739726
31-12-2023,164,-0.154929577
31-03-2024,157,0.042682927
30-06-2024,162,-0.031847134
30-09-2024,153,0.055555556
31-12-2024,171,-0.117647059
31-03-2025,165,0.035087719
30-06-2025,178,-0.078787879
30-09-2025,171,0.039325843
31-12-2025,195,-0.140350877
