Date,Sales,GrowthRate
30-06-2021,24,-0.090909091
30-09-2021,26,-0.083333333
31-12-2021,28,-0.076923077
31-03-2022,23,0.178571429
30-06-2022,25,-0.086956522
30-09-2022,28,-0.12
31-12-2022,27,0.035714286
31-03-2023,25,0.074074074
30-06-2023,30,-0.2
30-09-2023,31,-0.033333333
31-12-2023,33,-0.064516129
31-03-2024,33,0
30-06-2024,36,-0.090909091
30-09-2024,38,-0.055555556
31-12-2024,38,0
31-03-2025,34,0.105263158
30-06-2025,40,-0.176470588
30-09-2025,43,-0.075
31-12-2025,50,-0.162790698
