Date,Sales,GrowthRate
30-06-2013,282,0.003533569
30-09-2013,282,0
31-12-2013,269,0.046099291
31-03-2014,270,-0.003717472
30-06-2014,290,-0.074074074
30-09-2014,286,0.013793103
31-12-2014,275,0.038461538
31-03-2015,278,-0.010909091
30-06-2015,279,-0.003597122
30-09-2015,280,-0.003584229
31-12-2015,260,0.071428571
31-03-2016,256,0.015384615
30-06-2016,280,-0.09375
30-09-2016,285,-0.017857143
31-12-2016,289,-0.014035088
31-03-2017,283,0.020761246
30-06-2017,287,-0.014134276
30-09-2017,275,0.041811847
31-12-2017,290,-0.054545455
31-03-2018,290,0
30-06-2018,290,0
30-09-2018,289,0.003448276
31-12-2018,290,-0.003460208
31-03-2019,288,0.006896552
30-06-2019,288,0
30-09-2019,284,0.013888889
31-12-2019,275,0.031690141
31-03-2020,255,0.072727273
30-06-2020,208,0.184313725
30-09-2020,275,-0.322115385
31-12-2020,254,0.076363636
31-03-2021,276,-0.086614173
30-06-2021,314,-0.137681159
30-09-2021,312,0.006369427
31-12-2021,312,0
31-03-2022,325,-0.041666667
30-06-2022,342,-0.052307692
30-09-2022,338,0.011695906
31-12-2022,332,0.017751479
31-03-2023,345,-0.039156627
30-06-2023,356,-0.031884058
30-09-2023,355,0.002808989
31-12-2023,349,0.016901408
31-03-2024,354,-0.014326648
30-06-2024,352,0.005649718
30-09-2024,349,0.008522727
31-12-2024,349,0
31-03-2025,358,-0.025787966
30-06-2025,355,0.008379888
30-09-2025,354,0.002816901
31-12-2025,359,-0.014124294
