Date,Sales,GrowthRate
30-06-2013,26,-0.04
30-09-2013,25,0.038461538
31-12-2013,30,-0.2
31-03-2014,30,0
30-06-2014,29,0.033333333
30-09-2014,32,-0.103448276
31-12-2014,32,0
31-03-2015,32,0
30-06-2015,31,0.03125
30-09-2015,34,-0.096774194
31-12-2015,34,0
31-03-2016,31,0.088235294
30-06-2016,32,-0.032258065
30-09-2016,33,-0.03125
31-12-2016,32,0.03030303
31-03-2017,32,0
30-06-2017,34,-0.0625
30-09-2017,34,0
31-12-2017,36,-0.058823529
31-03-2018,35,0.027777778
30-06-2018,39,-0.114285714
30-09-2018,37,0.051282051
31-12-2018,39,-0.054054054
31-03-2019,36,0.076923077
30-06-2019,39,-0.083333333
30-09-2019,38,0.025641026
31-12-2019,35,0.078947368
31-03-2020,32,0.085714286
30-06-2020,22,0.3125
30-09-2020,33,-0.5
31-12-2020,31,0.060606061
31-03-2021,30,0.032258065
30-06-2021,34,-0.133333333
30-09-2021,32,0.058823529
31-12-2021,32,0
31-03-2022,50,-0.5625
30-06-2022,73,-0.46
30-09-2022,73,0
31-12-2022,79,-0.082191781
31-03-2023,85,-0.075949367
30-06-2023,85,0
30-09-2023,89,-0.047058824
31-12-2023,111,-0.247191011
31-03-2024,158,-0.423423423
30-06-2024,271,-0.715189873
30-09-2024,366,-0.350553506
31-12-2024,461,-0.259562842
31-03-2025,511,-0.10845987
30-06-2025,587,-0.148727984
30-09-2025,607,-0.03407155
31-12-2025,606,0.001647446
