Date,Sales,GrowthRate
30-06-2013,156,-0.04
30-09-2013,156,0
31-12-2013,162,-0.038461538
31-03-2014,153,0.055555556
30-06-2014,163,-0.065359477
30-09-2014,167,-0.024539877
31-12-2014,170,-0.017964072
31-03-2015,159,0.064705882
30-06-2015,173,-0.088050314
30-09-2015,180,-0.040462428
31-12-2015,184,-0.022222222
31-03-2016,182,0.010869565
30-06-2016,189,-0.038461538
30-09-2016,194,-0.026455026
31-12-2016,205,-0.056701031
31-03-2017,215,-0.048780488
30-06-2017,225,-0.046511628
30-09-2017,220,0.022222222
31-12-2017,235,-0.068181818
31-03-2018,231,0.017021277
30-06-2018,245,-0.060606061
30-09-2018,247,-0.008163265
31-12-2018,257,-0.04048583
31-03-2019,253,0.015564202
30-06-2019,270,-0.067193676
30-09-2019,277,-0.025925926
31-12-2019,280,-0.010830325
31-03-2020,256,0.085714286
30-06-2020,190,0.2578125
30-09-2020,270,-0.421052632
31-12-2020,284,-0.051851852
31-03-2021,280,0.014084507
30-06-2021,316,-0.128571429
30-09-2021,306,0.03164557
31-12-2021,320,-0.045751634
31-03-2022,312,0.025
30-06-2022,338,-0.083333333
30-09-2022,342,-0.01183432
31-12-2022,349,-0.020467836
31-03-2023,351,-0.005730659
30-06-2023,384,-0.094017094
30-09-2023,382,0.005208333
31-12-2023,394,-0.031413613
31-03-2024,395,-0.002538071
30-06-2024,415,-0.050632911
30-09-2024,417,-0.004819277
31-12-2024,423,-0.014388489
31-03-2025,420,0.007092199
30-06-2025,456,-0.085714286
30-09-2025,462,-0.013157895
31-12-2025,464,-0.004329004
