Date,Sales,GrowthRate
30-06-2013,196,-0.005128205
30-09-2013,184,0.06122449
31-12-2013,186,-0.010869565
31-03-2014,191,-0.02688172
30-06-2014,203,-0.062827225
30-09-2014,198,0.024630542
31-12-2014,201,-0.015151515
31-03-2015,196,0.024875622
30-06-2015,219,-0.117346939
30-09-2015,214,0.02283105
31-12-2015,228,-0.065420561
31-03-2016,238,-0.043859649
30-06-2016,252,-0.058823529
30-09-2016,260,-0.031746032
31-12-2016,262,-0.007692308
31-03-2017,278,-0.061068702
30-06-2017,280,-0.007194245
30-09-2017,271,0.032142857
31-12-2017,292,-0.077490775
31-03-2018,281,0.037671233
30-06-2018,296,-0.053380783
30-09-2018,283,0.043918919
31-12-2018,294,-0.038869258
31-03-2019,296,-0.006802721
30-06-2019,318,-0.074324324
30-09-2019,327,-0.028301887
31-12-2019,352,-0.076452599
31-03-2020,297,0.15625
30-06-2020,189,0.363636364
30-09-2020,255,-0.349206349
31-12-2020,240,0.058823529
31-03-2021,195,0.1875
30-06-2021,206,-0.056410256
30-09-2021,193,0.063106796
31-12-2021,184,0.046632124
31-03-2022,186,-0.010869565
30-06-2022,192,-0.032258065
30-09-2022,190,0.010416667
31-12-2022,176,0.073684211
31-03-2023,183,-0.039772727
30-06-2023,189,-0.032786885
30-09-2023,182,0.037037037
31-12-2023,189,-0.038461538
31-03-2024,195,-0.031746032
30-06-2024,201,-0.030769231
30-09-2024,212,-0.054726368
31-12-2024,217,-0.023584906
31-03-2025,232,-0.069124424
30-06-2025,252,-0.086206897
30-09-2025,256,-0.015873016
31-12-2025,268.6,-0.04921875
