Date,Sales,GrowthRate
30-06-2013,102,-0.243902439
30-09-2013,107,-0.049019608
31-12-2013,127,-0.186915888
31-03-2014,97,0.236220472
30-06-2014,102,-0.051546392
30-09-2014,103,-0.009803922
31-12-2014,119,-0.155339806
31-03-2015,102,0.142857143
30-06-2015,110,-0.078431373
30-09-2015,111,-0.009090909
31-12-2015,126,-0.135135135
31-03-2016,105,0.166666667
30-06-2016,115,-0.095238095
30-09-2016,117,-0.017391304
31-12-2016,137,-0.170940171
31-03-2017,116,0.153284672
30-06-2017,125,-0.077586207
30-09-2017,126,-0.008
31-12-2017,150,-0.19047619
31-03-2018,131,0.126666667
30-06-2018,160,-0.221374046
30-09-2018,155,0.03125
31-12-2018,178,-0.148387097
31-03-2019,144,0.191011236
30-06-2019,160,-0.111111111
30-09-2019,183,-0.14375
31-12-2019,208,-0.136612022
31-03-2020,151,0.274038462
30-06-2020,100,0.337748344
30-09-2020,176,-0.76
31-12-2020,183,-0.039772727
31-03-2021,151,0.174863388
30-06-2021,194,-0.284768212
30-09-2021,175,0.097938144
31-12-2021,193,-0.102857143
31-03-2022,161,0.165803109
30-06-2022,186,-0.155279503
30-09-2022,173,0.069892473
31-12-2022,195,-0.12716763
31-03-2023,172,0.117948718
30-06-2023,183,-0.063953488
30-09-2023,175,0.043715847
31-12-2023,206,-0.177142857
31-03-2024,190,0.077669903
30-06-2024,214,-0.126315789
30-09-2024,211,0.014018692
31-12-2024,231,-0.09478673
31-03-2025,204,0.116883117
30-06-2025,228,-0.117647059
30-09-2025,230,-0.00877193
31-12-2025,252,-0.095652174
