Date,Sales,GrowthRate
30-06-2013,91,-0.034090909
30-09-2013, 90.0 ,0.010989011
31-12-2013, 93.0 ,-0.033333333
31-03-2014, 90.0 ,0.032258065
30-06-2014, 96.0 ,-0.066666667
30-09-2014, 105.0 ,-0.09375
31-12-2014, 118.0 ,-0.123809524
31-03-2015, 119.0 ,-0.008474576
30-06-2015, 128.0 ,-0.075630252
30-09-2015, 128.0 ,0
31-12-2015, 128.0 ,0
31-03-2016, 135.0 ,-0.0546875
30-06-2016, 139.0 ,-0.02962963
30-09-2016, 140.0 ,-0.007194245
31-12-2016, 139.0 ,0.007142857
31-03-2017, 142.0 ,-0.021582734
30-06-2017, 144.0 ,-0.014084507
30-09-2017, 141.0 ,0.020833333
31-12-2017, 146.0 ,-0.035460993
31-03-2018, 145.0 ,0.006849315
30-06-2018, 152.0 ,-0.048275862
30-09-2018, 152.0 ,0
31-12-2018, 159.0 ,-0.046052632
31-03-2019, 156.0 ,0.018867925
30-06-2019, 155.0 ,0.006410256
30-09-2019, 195.0 ,-0.258064516
31-12-2019, 235.0 ,-0.205128205
31-03-2020, 224.0 ,0.046808511
30-06-2020, 189.0 ,0.15625
30-09-2020, 236.0 ,-0.248677249
31-12-2020, 239.0 ,-0.012711864
31-03-2021, 238.0 ,0.0041841
30-06-2021, 260.0 ,-0.092436975
30-09-2021, 250.0 ,0.038461538
31-12-2021, 248.0 ,0.008
31-03-2022, 256.0 ,-0.032258065
30-06-2022, 257.0 ,-0.00390625
30-09-2022, 269.0 ,-0.046692607
31-12-2022, 266.0 ,0.011152416
31-03-2023, 275.0 ,-0.033834586
30-06-2023, 285.0 ,-0.036363636
30-09-2023, 283.0 ,0.007017544
31-12-2023, 292.0 ,-0.03180212
31-03-2024, 299.0 ,-0.023972603
30-06-2024, 308.0 ,-0.030100334
30-09-2024, 316.0 ,-0.025974026
31-12-2024, 377.0 ,-0.193037975
31-03-2025, 376.0 ,0.00265252
30-06-2025, 402.0 ,-0.069148936
30-09-2025, 405.0 ,-0.007462687
31-12-2025, 429.4 ,-0.060244089
