Date,Sales,GrowthRate
30-06-2013,88,-0.047619048
30-09-2013,93,-0.056818182
31-12-2013,92,0.010752688
31-03-2014,83,0.097826087
30-06-2014,90,-0.084337349
30-09-2014,94,-0.044444444
31-12-2014,95,-0.010638298
31-03-2015,87,0.084210526
30-06-2015,95,-0.091954023
30-09-2015,142,-0.494736842
31-12-2015,169,-0.190140845
31-03-2016,161,0.047337278
30-06-2016,178,-0.105590062
30-09-2016,178,0
31-12-2016,194,-0.08988764
31-03-2017,183,0.056701031
30-06-2017,196,-0.071038251
30-09-2017,190,0.030612245
31-12-2017,215,-0.131578947
31-03-2018,197,0.08372093
30-06-2018,213,-0.081218274
30-09-2018,214,-0.004694836
31-12-2018,240,-0.121495327
31-03-2019,231,0.0375
30-06-2019,248,-0.073593074
30-09-2019,257,-0.036290323
31-12-2019,269,-0.046692607
31-03-2020,237,0.118959108
30-06-2020,162,0.316455696
30-09-2020,251,-0.549382716
31-12-2020,268,-0.067729084
31-03-2021,257,0.041044776
30-06-2021,285,-0.108949416
30-09-2021,275,0.035087719
31-12-2021,303,-0.101818182
31-03-2022,286,0.056105611
30-06-2022,320,-0.118881119
30-09-2022,315,0.015625
31-12-2022,336,-0.066666667
31-03-2023,326,0.029761905
30-06-2023,340,-0.042944785
30-09-2023,341,-0.002941176
31-12-2023,362,-0.061583578
31-03-2024,356,0.016574586
30-06-2024,363,-0.019662921
30-09-2024,379,-0.044077135
31-12-2024,459,-0.211081794
31-03-2025,469,-0.021786492
30-06-2025,499,-0.063965885
30-09-2025,511,-0.024048096
31-12-2025,522,-0.021526419
