Date,Sales,GrowthRate
30-06-2021,192,-0.288590604
30-09-2021,183,0.046875
31-12-2021,205,-0.120218579
31-03-2022,203,0.009756098
30-06-2022,225,-0.108374384
30-09-2022,234,-0.04
31-12-2022,253,-0.081196581
31-03-2023,265,-0.04743083
30-06-2023,286,-0.079245283
30-09-2023,291,-0.017482517
31-12-2023,313,-0.075601375
31-03-2024,311,0.006389776
30-06-2024,342,-0.099678457
30-09-2024,342,0
31-12-2024,376,-0.099415205
31-03-2025,390,-0.037234043
30-06-2025,446,-0.143589744
30-09-2025,470,-0.053811659
31-12-2025,485,-0.031914894
