Date,Sales,GrowthRate
30-06-2013,475,0.006276151
30-09-2013,464,0.023157895
31-12-2013,468,-0.00862069
31-03-2014,466,0.004273504
30-06-2014,497,-0.066523605
30-09-2014,480,0.034205231
31-12-2014,468,0.025
31-03-2015,456,0.025641026
30-06-2015,460,-0.00877193
30-09-2015,451,0.019565217
31-12-2015,440,0.024390244
31-03-2016,433,0.015909091
30-06-2016,477,-0.101616628
30-09-2016,467,0.020964361
31-12-2016,473,-0.012847966
31-03-2017,463,0.021141649
30-06-2017,480,-0.036717063
30-09-2017,463,0.035416667
31-12-2017,488,-0.05399568
31-03-2018,493,-0.010245902
30-06-2018,494,-0.002028398
30-09-2018,475,0.038461538
31-12-2018,489,-0.029473684
31-03-2019,491,-0.00408998
30-06-2019,498,-0.014256619
30-09-2019,478,0.040160643
31-12-2019,473,0.010460251
31-03-2020,437,0.076109937
30-06-2020,351,0.196796339
30-09-2020,465,-0.324786325
31-12-2020,451,0.030107527
31-03-2021,469,-0.039911308
30-06-2021,524,-0.117270789
30-09-2021,512,0.022900763
31-12-2021,514,-0.00390625
31-03-2022,519,-0.009727626
30-06-2022,541,-0.04238921
30-09-2022,519,0.040665434
31-12-2022,521,-0.003853565
31-03-2023,548,-0.051823417
30-06-2023,566,-0.032846715
30-09-2023,552,0.024734982
31-12-2023,553,-0.001811594
31-03-2024,575,-0.039783002
30-06-2024,576,-0.00173913
30-09-2024,561,0.026041667
31-12-2024,566,-0.008912656
31-03-2025,578,-0.021201413
30-06-2025,590,-0.020761246
30-09-2025,578,0.020338983
31-12-2025,587,-0.015570934
