Date,Sales,GrowthRate
30-06-2013,36,-0.028571429
30-09-2013,33,0.083333333
31-12-2013,50,-0.515151515
31-03-2014,58,-0.16
30-06-2014,56,0.034482759
30-09-2014,54,0.035714286
31-12-2014,59,-0.092592593
31-03-2015,58,0.016949153
30-06-2015,57,0.017241379
30-09-2015,57,0
31-12-2015,61,-0.070175439
31-03-2016,59,0.032786885
30-06-2016,60,-0.016949153
30-09-2016,60,0
31-12-2016,63,-0.05
31-03-2017,64,-0.015873016
30-06-2017,67,-0.046875
30-09-2017,71,-0.059701493
31-12-2017,77,-0.084507042
31-03-2018,74,0.038961039
30-06-2018,79,-0.067567568
30-09-2018,76,0.037974684
31-12-2018,82,-0.078947368
31-03-2019,79,0.036585366
30-06-2019,84,-0.063291139
30-09-2019,81,0.035714286
31-12-2019,84,-0.037037037
31-03-2020,74,0.119047619
30-06-2020,51,0.310810811
30-09-2020,76,-0.490196078
31-12-2020,85,-0.118421053
31-03-2021,83,0.023529412
30-06-2021,95,-0.144578313
30-09-2021,86,0.094736842
31-12-2021,100,-0.162790698
31-03-2022,118,-0.18
30-06-2022,152,-0.288135593
30-09-2022,148,0.026315789
31-12-2022,167,-0.128378378
31-03-2023,177,-0.05988024
30-06-2023,193,-0.09039548
30-09-2023,190,0.015544041
31-12-2023,240,-0.263157895
31-03-2024,300,-0.25
30-06-2024,428,-0.426666667
30-09-2024,527,-0.231308411
31-12-2024,649,-0.231499051
31-03-2025,730,-0.124807396
30-06-2025,840,-0.150684932
30-09-2025,865,-0.029761905
31-12-2025,890,-0.028901734
