Date,Sales,GrowthRate
30-06-2013,320,-0.052631579
30-09-2013,317,0.009375
31-12-2013,339,-0.069400631
31-03-2014,314,0.073746313
30-06-2014,333,-0.060509554
30-09-2014,336,-0.009009009
31-12-2014,340,-0.011904762
31-03-2015,305,0.102941176
30-06-2015,326,-0.068852459
30-09-2015,331,-0.015337423
31-12-2015,343,-0.036253776
31-03-2016,333,0.029154519
30-06-2016,361,-0.084084084
30-09-2016,367,-0.016620499
31-12-2016,380,-0.035422343
31-03-2017,379,0.002631579
30-06-2017,400,-0.055408971
30-09-2017,403,-0.0075
31-12-2017,438,-0.086848635
31-03-2018,418,0.0456621
30-06-2018,442,-0.057416268
30-09-2018,443,-0.002262443
31-12-2018,459,-0.036117381
31-03-2019,440,0.041394336
30-06-2019,470,-0.068181818
30-09-2019,486,-0.034042553
31-12-2019,499,-0.026748971
31-03-2020,442,0.114228457
30-06-2020,348,0.212669683
30-09-2020,475,-0.364942529
31-12-2020,515,-0.084210526
31-03-2021,499,0.031067961
30-06-2021,551,-0.104208417
30-09-2021,533,0.032667877
31-12-2021,558,-0.046904315
31-03-2022,531,0.048387097
30-06-2022,560,-0.054613936
30-09-2022,559,0.001785714
31-12-2022,571,-0.021466905
31-03-2023,577,-0.010507881
30-06-2023,631,-0.093587522
30-09-2023,629,0.003169572
31-12-2023,645,-0.025437202
31-03-2024,642,0.004651163
30-06-2024,676,-0.052959502
30-09-2024,678,-0.00295858
31-12-2024,690,-0.017699115
31-03-2025,673,0.024637681
30-06-2025,737,-0.095096582
30-09-2025,747,-0.013568521
31-12-2025,760,-0.017402945
