Date,Sales,GrowthRate
30-06-2013,520,-0.02970297
30-09-2013,472,0.092307692
31-12-2013,500,-0.059322034
31-03-2014,497,0.006
30-06-2014,529,-0.064386318
30-09-2014,508,0.039697543
31-12-2014,523,-0.029527559
31-03-2015,495,0.053537285
30-06-2015,515,-0.04040404
30-09-2015,500,0.029126214
31-12-2015,525,-0.05
31-03-2016,548,-0.043809524
30-06-2016,579,-0.056569343
30-09-2016,568,0.018998273
31-12-2016,585,-0.029929577
31-03-2017,590,-0.008547009
30-06-2017,603,-0.022033898
30-09-2017,589,0.023217247
31-12-2017,635,-0.078098472
31-03-2018,645,-0.015748031
30-06-2018,662,-0.026356589
30-09-2018,615,0.070996979
31-12-2018,668,-0.086178862
31-03-2019,661,0.010479042
30-06-2019,706,-0.068078669
30-09-2019,700,0.008498584
31-12-2019,748,-0.068571429
31-03-2020,633,0.153743316
30-06-2020,495,0.218009479
30-09-2020,586,-0.183838384
31-12-2020,585,0.001706485
31-03-2021,526,0.100854701
30-06-2021,574,-0.091254753
30-09-2021,534,0.069686411
31-12-2021,575,-0.076779026
31-03-2022,544,0.053913043
30-06-2022,574,-0.055147059
30-09-2022,549,0.043554007
31-12-2022,561,-0.021857923
31-03-2023,591,-0.053475936
30-06-2023,629,-0.0642978
30-09-2023,583,0.073131955
31-12-2023,614,-0.053173242
31-03-2024,652,-0.061889251
30-06-2024,665,-0.01993865
30-09-2024,661,0.006015038
31-12-2024,668,-0.010590015
31-03-2025,697,-0.043413174
30-06-2025,731,-0.048780488
30-09-2025,686,0.061559508
31-12-2025,742.6882494,-0.082635932
