Date,Sales,GrowthRate
30-06-2013,111,-0.247191011
30-09-2013,115,-0.036036036
31-12-2013,138,-0.2
31-03-2014,109,0.210144928
30-06-2014,114,-0.04587156
30-09-2014,115,-0.00877193
31-12-2014,134,-0.165217391
31-03-2015,114,0.149253731
30-06-2015,122,-0.070175439
30-09-2015,124,-0.016393443
31-12-2015,141,-0.137096774
31-03-2016,121,0.141843972
30-06-2016,135,-0.115702479
30-09-2016,138,-0.022222222
31-12-2016,161,-0.166666667
31-03-2017,141,0.124223602
30-06-2017,154,-0.092198582
30-09-2017,154,0
31-12-2017,186,-0.207792208
31-03-2018,169,0.091397849
30-06-2018,202,-0.195266272
30-09-2018,189,0.064356436
31-12-2018,219,-0.158730159
31-03-2019,186,0.150684932
30-06-2019,204,-0.096774194
30-09-2019,222,-0.088235294
31-12-2019,261,-0.175675676
31-03-2020,191,0.268199234
30-06-2020,122,0.361256545
30-09-2020,216,-0.770491803
31-12-2020,232,-0.074074074
31-03-2021,198,0.146551724
30-06-2021,247,-0.247474747
30-09-2021,221,0.105263158
31-12-2021,244,-0.104072398
31-03-2022,209,0.143442623
30-06-2022,239,-0.14354067
30-09-2022,221,0.075313808
31-12-2022,249,-0.126696833
31-03-2023,234,0.060240964
30-06-2023,244,-0.042735043
30-09-2023,229,0.06147541
31-12-2023,269,-0.174672489
31-03-2024,256,0.048327138
30-06-2024,282,-0.1015625
30-09-2024,268,0.04964539
31-12-2024,299,-0.115671642
31-03-2025,271,0.093645485
30-06-2025,303,-0.118081181
30-09-2025,293,0.0330033
31-12-2025,332,-0.133105802
