Date,Sales,GrowthRate
30-06-2013,204,-0.040816327
30-09-2013,200,0.019607843
31-12-2013,209,-0.045
31-03-2014,203,0.028708134
30-06-2014,210,-0.034482759
30-09-2014,215,-0.023809524
31-12-2014,222,-0.03255814
31-03-2015,217,0.022522523
30-06-2015,228,-0.050691244
30-09-2015,227,0.004385965
31-12-2015,231,-0.017621145
31-03-2016,242,-0.047619048
30-06-2016,258,-0.066115702
30-09-2016,257,0.003875969
31-12-2016,255,0.007782101
31-03-2017,261,-0.023529412
30-06-2017,273,-0.045977011
30-09-2017,268,0.018315018
31-12-2017,277,-0.03358209
31-03-2018,287,-0.036101083
30-06-2018,304,-0.059233449
30-09-2018,293,0.036184211
31-12-2018,303,-0.034129693
31-03-2019,311,-0.02640264
30-06-2019,320,-0.028938907
30-09-2019,358,-0.11875
31-12-2019,403,-0.125698324
31-03-2020,392,0.027295285
30-06-2020,340,0.132653061
30-09-2020,416,-0.223529412
31-12-2020,429,-0.03125
31-03-2021,433,-0.009324009
30-06-2021,473,-0.092378753
30-09-2021,452,0.044397463
31-12-2021,462,-0.022123894
31-03-2022,465,-0.006493506
30-06-2022,478,-0.027956989
30-09-2022,479,-0.00209205
31-12-2022,476,0.006263048
31-03-2023,503,-0.056722689
30-06-2023,535,-0.06361829
30-09-2023,538,-0.005607477
31-12-2023,533,0.00929368
31-03-2024,573,-0.075046904
30-06-2024,590,-0.029668412
30-09-2024,602,-0.020338983
31-12-2024,645,-0.071428571
31-03-2025,656,-0.017054264
30-06-2025,698,-0.06402439
30-09-2025,702,-0.005730659
31-12-2025,722.3117506,-0.028934118
