Date,Sales,GrowthRate
30-06-2013,124,-0.050847458
30-09-2013,131,-0.056451613
31-12-2013,132,-0.007633588
31-03-2014,125,0.053030303
30-06-2014,133,-0.064
30-09-2014,137,-0.030075188
31-12-2014,140,-0.02189781
31-03-2015,123,0.121428571
30-06-2015,135,-0.097560976
30-09-2015,198,-0.466666667
31-12-2015,237,-0.196969697
31-03-2016,228,0.037974684
30-06-2016,256,-0.122807018
30-09-2016,248,0.03125
31-12-2016,274,-0.10483871
31-03-2017,262,0.04379562
30-06-2017,280,-0.06870229
30-09-2017,274,0.021428571
31-12-2017,308,-0.124087591
31-03-2018,293,0.048701299
30-06-2018,309,-0.054607509
30-09-2018,303,0.019417476
31-12-2018,340,-0.122112211
31-03-2019,326,0.041176471
30-06-2019,348,-0.067484663
30-09-2019,359,-0.031609195
31-12-2019,379,-0.055710306
31-03-2020,332,0.124010554
30-06-2020,228,0.313253012
30-09-2020,350,-0.535087719
31-12-2020,376,-0.074285714
31-03-2021,361,0.039893617
30-06-2021,397,-0.099722992
30-09-2021,384,0.032745592
31-12-2021,441,-0.1484375
31-03-2022,413,0.063492063
30-06-2022,450,-0.089588378
30-09-2022,433,0.037777778
31-12-2022,477,-0.101616628
31-03-2023,469,0.016771488
30-06-2023,485,-0.034115139
30-09-2023,483,0.004123711
31-12-2023,527,-0.091097308
31-03-2024,513,0.026565465
30-06-2024,525,-0.023391813
30-09-2024,532,-0.013333333
31-12-2024,630,-0.184210526
31-03-2025,633,-0.004761905
30-06-2025,676,-0.06793049
30-09-2025,682,-0.00887574
31-12-2025,717,-0.051319648
