Date,Sales,GrowthRate
30-06-2021,216,-0.270588235
30-09-2021,210,0.027777778
31-12-2021,233,-0.10952381
31-03-2022,226,0.030042918
30-06-2022,250,-0.10619469
30-09-2022,262,-0.048
31-12-2022,280,-0.06870229
31-03-2023,291,-0.039285714
30-06-2023,317,-0.089347079
30-09-2023,323,-0.018927445
31-12-2023,345,-0.068111455
31-03-2024,344,0.002898551
30-06-2024,379,-0.101744186
30-09-2024,380,-0.002638522
31-12-2024,413,-0.086842105
31-03-2025,425,-0.02905569
30-06-2025,486,-0.143529412
30-09-2025,512,-0.053497942
31-12-2025,535,-0.044921875
