Date,Sales,GrowthRate
30-06-2013,386013,0.318309888
30-09-2013,348637,-0.096825755
31-12-2013,416181,0.193737326
31-03-2014,298107,-0.28370829
30-06-2014,332387,0.114992268
30-09-2014,315833,-0.049803392
31-12-2014,402165,0.27334699
31-03-2015,262658,-0.346889958
30-06-2015,332534,0.266034158
30-09-2015,302460,-0.090438872
31-12-2015,366183,0.210682404
31-03-2016,234816,-0.358746856
30-06-2016,287543,0.224546028
30-09-2016,248188,-0.136866486
31-12-2016,324742,0.308451658
31-03-2017,242059,-0.254611353
30-06-2017,282688,0.167847508
30-09-2017,270521,-0.043040384
31-12-2017,340920,0.26023488
31-03-2018,212512,-0.376651414
30-06-2018,251034,0.181269764
30-09-2018,219667,-0.124951202
31-12-2018,287222,0.307533676
31-03-2019,176316,-0.386133374
30-06-2019,204687,0.160909957
30-09-2019,189174,-0.075788887
31-12-2019,237237,0.254067684
31-03-2020,119825,-0.494914368
30-06-2020,95526,-0.202787398
30-09-2020,140678,0.472667127
31-12-2020,185285,0.317085827
31-03-2021,148604,-0.197970694
30-06-2021,169847,0.142950392
30-09-2021,153784,-0.094573351
31-12-2021,181297,0.178906778
31-03-2022,157201,-0.132908984
30-06-2022,200897,0.277962608
30-09-2022,202933,0.010134547
31-12-2022,242449,0.194724367
31-03-2023,192423,-0.206336178
30-06-2023,219238,0.139354443
30-09-2023,220686,0.006604694
31-12-2023,229278,0.038933145
31-03-2024,175541,-0.234374864
30-06-2024,244724,0.394113056
30-09-2024,239574,-0.021044115
31-12-2024,277552,0.158523045
31-03-2025,212096,-0.235833285
30-06-2025,260668,0.229009505
30-09-2025,253609,-0.027080424
01-10-2025,328527,-0.295407497
