Date,Sales,GrowthRate
30-06-2017,88617,-0.327410724
30-09-2017,112133,0.26536669
31-12-2017,103682,-0.07536586
31-03-2018,117065,0.129077371
30-06-2018,94688,-0.191150216
30-09-2018,107638,0.136764954
31-12-2018,118187,0.098004422
31-03-2019,109420,-0.074179055
30-06-2019,105143,-0.039087918
30-09-2019,113937,0.083638473
31-12-2019,110025,-0.034334764
31-03-2020,106094,-0.035728244
30-06-2020,101852,-0.039983411
30-09-2020,105376,0.034599222
31-12-2020,122752,0.164895232
31-03-2021,124414,0.013539494
30-06-2021,111777,-0.10157217
30-09-2021,115714,0.035221915
31-12-2021,128457,0.110124963
31-03-2022,118198,-0.079863301
30-06-2022,118231,0.000279193
30-09-2022,126074,0.06633624
31-12-2022,150828,0.196345004
31-03-2023,131055,-0.131096348
30-06-2023,126115,-0.037694098
30-09-2023,132406,0.049883043
31-12-2023,164204,0.24015528
31-03-2024,134212,-0.182650849
30-06-2024,140995,0.050539445
30-09-2024,132330,-0.06145608
31-12-2024,161271,0.218703242
31-03-2025,137333,-0.148433382
30-06-2025,141959,0.033684548
30-09-2025,132867,-0.064046661
01-10-2025,168463,-0.267907005
