Date,Sales,GrowthRate
30-06-2013,60835,-0.082801876
30-09-2013,70647,0.161288732
31-12-2013,96547,0.366611463
31-03-2014,54340,-0.437165318
30-06-2014,71916,0.323444976
30-09-2014,74125,0.030716391
31-12-2014,92958,0.254070826
31-03-2015,65656,-0.293702532
30-06-2015,104918,0.597995614
30-09-2015,112598,0.073200023
31-12-2015,142448,0.2651024
31-03-2016,108062,-0.241393351
30-06-2016,116307,0.076298791
30-09-2016,119429,0.026842752
31-12-2016,154581,0.294333872
31-03-2017,156600,0.013061114
30-06-2017,165453,0.056532567
30-09-2017,182462,0.102802609
31-12-2017,198297,0.086785194
31-03-2018,212845,0.0733647
30-06-2018,224719,0.055787075
30-09-2018,196927,-0.123674456
31-12-2018,208450,0.058514069
31-03-2019,163079,-0.217658911
30-06-2019,179472,0.100521833
30-09-2019,164658,-0.082542124
31-12-2019,181224,0.100608534
31-03-2020,98812,-0.45475213
30-06-2020,99542,0.007387767
30-09-2020,103809,0.042866328
31-12-2020,159359,0.535117379
31-03-2021,124552,-0.21841879
30-06-2021,138065,0.108492838
30-09-2021,130381,-0.055654945
31-12-2021,152744,0.17152039
31-03-2022,125823,-0.176249149
30-06-2022,143692,0.14201696
30-09-2022,154546,0.075536564
31-12-2022,152738,-0.011698782
31-03-2023,112501,-0.263438044
30-06-2023,121030,0.075812659
30-09-2023,123593,0.021176568
31-12-2023,147386,0.192510903
31-03-2024,123623,-0.161229696
30-06-2024,154336,0.248440824
30-09-2024,125187,-0.188867147
31-12-2024,122248,-0.023476879
31-03-2025,67468,-0.44810549
30-06-2025,92372,0.36912314
30-09-2025,140730,0.523513619
01-10-2025,181017,-0.286271584
