Date,Sales,GrowthRate
30-06-2013,520032,0.021320722
30-09-2013,493865,-0.050318057
31-12-2013,521970,0.056908264
31-03-2014,464206,-0.110665364
30-06-2014,522493,0.125562789
30-09-2014,482250,-0.077021128
31-12-2014,564813,0.171203733
31-03-2015,529131,-0.063174892
30-06-2015,536954,0.014784619
30-09-2015,510724,-0.048849622
31-12-2015,534007,0.045588224
31-03-2016,454352,-0.149164711
30-06-2016,456396,0.004498715
30-09-2016,411221,-0.098982024
31-12-2016,485850,0.18148149
31-03-2017,442347,-0.089539981
30-06-2017,455715,0.030220619
30-09-2017,429374,-0.057801477
31-12-2017,477392,0.111832575
31-03-2018,442712,-0.072644703
30-06-2018,462664,0.045067674
30-09-2018,430353,-0.069836858
31-12-2018,471572,0.095779511
31-03-2019,438998,-0.069075348
30-06-2019,440761,0.004015964
30-09-2019,425339,-0.034989484
31-12-2019,447009,0.050947597
31-03-2020,477841,0.068974003
30-06-2020,393428,-0.176654996
30-09-2020,430070,0.093135212
31-12-2020,503088,0.169781663
31-03-2021,469355,-0.067051888
30-06-2021,489641,0.043221016
30-09-2021,459201,-0.062167997
31-12-2021,520650,0.133817217
31-03-2022,507203,-0.025827331
30-06-2022,570462,0.124721265
30-09-2022,554778,-0.027493505
31-12-2022,640167,0.15391562
31-03-2023,558153,-0.128113445
30-06-2023,574931,0.030059858
30-09-2023,570360,-0.007950519
31-12-2023,642632,0.126712953
31-03-2024,580264,-0.097050878
30-06-2024,654514,0.127958998
30-09-2024,610877,-0.066670843
31-12-2024,677070,0.108357329
31-03-2025,610965,-0.097633923
30-06-2025,610612,-0.000577775
30-09-2025,603986,-0.010851408
01-10-2025,668835,-0.107368383
