Date,Sales,GrowthRate
30-06-2017,64.675,-0.053373074
30-09-2017,60.537,0.063981446
31-12-2017,74.732,-0.234484695
31-03-2018,65.71,0.120724723
30-06-2018,69.074,-0.051194643
30-09-2018,63.355,0.082795263
31-12-2018,76.127,-0.201594191
31-03-2019,68.181,0.10437821
30-06-2019,72.422,-0.06220208
30-09-2019,67.798,0.063848002
31-12-2019,75.502,-0.113631671
31-03-2020,62.244,0.175597997
30-06-2020,39.096,0.371891267
30-09-2020,63.274,-0.618426437
31-12-2020,70.376,-0.112241995
31-03-2021,70.035,0.004845402
30-06-2021,67.116,0.04167916
30-09-2021,67.794,-0.010101913
31-12-2021,74.926,-0.10520105
31-03-2022,69.57,0.071483864
30-06-2022,79.721,-0.145910594
30-09-2022,72.93,0.085184581
31-12-2022,66.131,0.093226381
31-03-2023,82.231,-0.24345617
30-06-2023,88.451,-0.075640574
30-09-2023,78.394,0.113701371
31-12-2023,84.514,-0.078067199
31-03-2024,80.761,0.044406844
30-06-2024,87.412,-0.082354107
30-09-2024,80.837,0.075218505
31-12-2024,84.308,-0.042938258
31-03-2025,85.274,-0.011457987
30-06-2025,89.047,-0.044245608
30-09-2025,85.737,0.037171381
31-12-2025,99.1,-0.155860364
