Date,Sales,GrowthRate
30-06-2017,32.469,-0.261372907
30-09-2017,31.276,0.036742739
31-12-2017,34.523,-0.103817624
31-03-2018,30.103,0.128030588
30-06-2018,34.09,-0.132445271
30-09-2018,31.423,0.078234086
31-12-2018,41.104,-0.308086434
31-03-2019,33.171,0.192998248
30-06-2019,36.905,-0.112568207
30-09-2019,37.61,-0.019103103
31-12-2019,46.843,-0.24549322
31-03-2020,32.919,0.297248255
30-06-2020,31.264,0.050274917
30-09-2020,40.356,-0.290813715
31-12-2020,40.866,-0.012637526
31-03-2021,38.699,0.053026966
30-06-2021,44.455,-0.148737693
30-09-2021,44.632,-0.003981554
31-12-2021,50.445,-0.130242875
31-03-2022,41.53,0.176727129
30-06-2022,48.287,-0.162701661
30-09-2022,46.437,0.038312589
31-12-2022,41.913,0.097422314
31-03-2023,48.648,-0.160690001
30-06-2023,54.534,-0.120991613
30-09-2023,55.661,-0.020666007
31-12-2023,52.151,0.063060312
31-03-2024,55.106,-0.056662384
30-06-2024,70.373,-0.277047871
30-09-2024,52.713,0.250948517
31-12-2024,47.281,0.103048584
31-03-2025,52.22,-0.104460566
30-06-2025,62.686,-0.200421295
30-09-2025,58.21,0.071403503
31-12-2025,67.862,-0.165813434
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
