Date,Sales,GrowthRate
30-06-2017,40.886,0.035502819
30-09-2017,38.044,0.069510346
31-12-2017,46.281,-0.216512459
31-03-2018,43.152,0.067608738
30-06-2018,41.057,0.048549314
30-09-2018,39.574,0.036120515
31-12-2018,48.679,-0.230075302
31-03-2019,45.256,0.070317796
30-06-2019,43.335,0.04244741
30-09-2019,42.53,0.018576209
31-12-2019,48.298,-0.135621914
31-03-2020,37.039,0.233115243
30-06-2020,21.387,0.422581603
30-09-2020,38.913,-0.819469771
31-12-2020,42.376,-0.088993396
31-03-2021,37.131,0.12377289
30-06-2021,40.777,-0.098192885
30-09-2021,37.957,0.069156632
31-12-2021,42.688,-0.124641041
31-03-2022,37.947,0.111061657
30-06-2022,40.461,-0.066250296
30-09-2022,45.688,-0.12918613
31-12-2022,49.08,-0.07424269
31-03-2023,48.944,0.002770986
30-06-2023,52.339,-0.069364989
30-09-2023,46.273,0.115898279
31-12-2023,52.012,-0.124024809
31-03-2024,54.151,-0.041125125
30-06-2024,52.125,0.037413898
30-09-2024,49.7,0.046522782
31-12-2024,54.694,-0.100482897
31-03-2025,53.016,0.030679782
30-06-2025,51.687,0.025067904
30-09-2025,52.456,-0.014878016
31-12-2025,58.281,-0.111045448
