Date,Sales,GrowthRate
30-06-2017,59.124,-0.036590284
30-09-2017,60.26,-0.019213856
31-12-2017,67.018,-0.112147361
31-03-2018,63.099,0.058476827
30-06-2018,68.599,-0.087164614
30-09-2018,67.955,0.009387892
31-12-2018,76.533,-0.126230594
31-03-2019,71.77,0.062234592
30-06-2019,85.601,-0.192712833
30-09-2019,85.652,-0.000595787
31-12-2019,94.223,-0.100067716
31-03-2020,81.808,0.131761884
30-06-2020,66.038,0.192768433
30-09-2020,95.292,-0.442987371
31-12-2020,99.211,-0.041126223
31-03-2021,86.812,0.124976061
30-06-2021,102.813,-0.184317836
30-09-2021,98.444,0.042494626
31-12-2021,105.911,-0.07585023
31-03-2022,93.28,0.119260511
30-06-2022,108.721,-0.165533877
30-09-2022,110.033,-0.012067586
31-12-2022,93.743,0.148046495
31-03-2023,115.645,-0.233638778
30-06-2023,122.328,-0.057788923
30-09-2023,124.25,-0.015711857
31-12-2023,138.369,-0.113633803
31-03-2024,122.255,0.116456721
30-06-2024,133.242,-0.089869535
30-09-2024,133.451,-0.001568574
31-12-2024,148.606,-0.113562281
31-03-2025,130.746,0.120183573
30-06-2025,138.925,-0.062556407
30-09-2025,141.523,-0.018700738
31-12-2025,147.954,-0.045441377
