Date,Sales,GrowthRate
30-06-2013,119.809,0.002962593
30-09-2013,109.369,0.087138696
31-12-2013,126.614,-0.157677221
31-03-2014,118.481,0.064234603
30-06-2014,117.405,0.009081625
30-09-2014,105.226,0.103734935
31-12-2014,119.587,-0.136477677
31-03-2015,111.878,0.064463529
30-06-2015,109.916,0.01753696
30-09-2015,103.061,0.062365807
31-12-2015,120.123,-0.16555244
31-03-2016,105.299,0.123406841
30-06-2016,105.863,-0.005356176
30-09-2016,99.353,0.061494573
31-12-2016,111.588,-0.12314676
31-03-2017,103.789,0.069891028
30-06-2017,105.561,-0.0170731
30-09-2017,98.581,0.066122905
31-12-2017,121,-0.227417048
31-03-2018,108.862,0.10031405
30-06-2018,110.131,-0.01165696
30-09-2018,102.929,0.065394848
31-12-2018,124.778,-0.212272537
31-03-2019,113.437,0.09088942
30-06-2019,115.757,-0.020451881
30-09-2019,110.328,0.046899971
31-12-2019,123.778,-0.121909216
31-03-2020,99.283,0.197894618
30-06-2020,60.483,0.390802051
30-09-2020,102.2,-0.689730999
31-12-2020,112.7,-0.102739726
31-03-2021,107.2,0.04880213
30-06-2021,107.893,-0.006464552
30-09-2021,105.7,0.020325693
31-12-2021,117.607,-0.112649007
31-03-2022,107.517,0.085794213
30-06-2022,120.182,-0.117795325
30-09-2022,118.618,0.013013596
31-12-2022,115.2,0.028815188
31-03-2023,131.175,-0.138671875
30-06-2023,140.8,-0.073375262
30-09-2023,124.7,0.114346591
31-12-2023,136.5,-0.094627105
31-03-2024,134.912,0.0116337
30-06-2024,139.537,-0.034281606
30-09-2024,130.537,0.064499022
31-12-2024,139.002,-0.064847514
31-03-2025,138.29,0.005122228
30-06-2025,140.7,-0.017427146
30-09-2025,138.193,0.017818053
