Date,Sales,GrowthRate
30-06-2013,73.184,-0.094765815
30-09-2013,69.886,0.045064495
31-12-2013,76.828,-0.0993332
31-03-2014,63.46,0.173999063
30-06-2014,70.745,-0.114796722
30-09-2014,69.735,0.014276627
31-12-2014,75.416,-0.081465548
31-03-2015,66.062,0.124032036
30-06-2015,71.111,-0.076428204
30-09-2015,66.123,0.07014386
31-12-2015,70.894,-0.072153411
31-03-2016,75.902,-0.070640675
30-06-2016,87.57,-0.15372454
30-09-2016,85.439,0.024334818
31-12-2016,92.506,-0.082713983
31-03-2017,82.778,0.105160746
30-06-2017,91.593,-0.106489647
30-09-2017,91.536,0.000622318
31-12-2017,101.6,-0.109945814
31-03-2018,93.202,0.08265748
30-06-2018,102.689,-0.101789661
30-09-2018,99.378,0.032242986
31-12-2018,117.631,-0.183672443
31-03-2019,104.941,0.107879726
30-06-2019,122.506,-0.167379766
30-09-2019,123.262,-0.006171126
31-12-2019,141.091,-0.144643118
31-03-2020,114.727,0.186858127
30-06-2020,97.302,0.151882294
30-09-2020,135.6,-0.393599309
31-12-2020,140.1,-0.033185841
31-03-2021,125.5,0.104211278
30-06-2021,147.268,-0.173450199
30-09-2021,143.1,0.028302143
31-12-2021,156.332,-0.092466806
31-03-2022,134.81,0.137668552
30-06-2022,157.008,-0.164661375
30-09-2022,156.47,0.003426577
31-12-2022,135.7,0.132741101
31-03-2023,164.293,-0.210707443
30-06-2023,176.9,-0.076734858
30-09-2023,179.9,-0.016958734
31-12-2023,190.5,-0.058921623
31-03-2024,177.361,0.068971129
30-06-2024,203.615,-0.148025778
30-09-2024,186.164,0.085705866
31-12-2024,195.887,-0.052228143
31-03-2025,182.966,0.065961498
30-06-2025,201.6,-0.101844058
30-09-2025,199.733,0.009260913
