Date,Sales,GrowthRate
30-06-2013,204.3,0.031297325
30-09-2013,172,-0.158100832
31-12-2013,207,0.203488372
31-03-2014,202.6,-0.021256039
30-06-2014,214,0.056268509
30-09-2014,203.4,-0.04953271
31-12-2014,206.1,0.013274336
31-03-2015,196.9,-0.044638525
30-06-2015,204,0.036058913
30-09-2015,187.9,-0.078921569
31-12-2015,196.2,0.044172432
31-03-2016,195.9,-0.001529052
30-06-2016,198.7,0.014293007
30-09-2016,190.9,-0.039255159
31-12-2016,189.4,-0.007857517
31-03-2017,199.5,0.053326294
30-06-2017,207.1,0.038095238
30-09-2017,195.6,-0.05552873
31-12-2017,204.9,0.047546012
31-03-2018,179.5,-0.123962909
30-06-2018,190.3,0.060167131
30-09-2018,184.6,-0.029952706
31-12-2018,207.2,0.122426869
31-03-2019,214.7,0.036196911
30-06-2019,217.8,0.014438752
30-09-2019,204.1,-0.062901745
31-12-2019,205.1,0.004899559
31-03-2020,193.4,-0.057045344
30-06-2020,160.9,-0.168045502
30-09-2020,203.3,0.263517713
31-12-2020,204.2,0.004426955
31-03-2021,213,0.043095005
30-06-2021,237.4,0.114553991
30-09-2021,217.4,-0.084245998
31-12-2021,221.3,0.017939282
31-03-2022,220.8,-0.002259376
30-06-2022,228.5,0.034873188
30-09-2022,219.7,-0.038512035
31-12-2022,224.1,0.02002731
31-03-2023,248.2,0.107541276
30-06-2023,256.3,0.032634972
30-09-2023,246.6,-0.037846274
31-12-2023,248.2,0.00648824
31-03-2024,266.1,0.072119259
30-06-2024,247.8,-0.068771139
30-09-2024,240,-0.031476998
31-12-2024,210.9,-0.12125
31-03-2025,250.9,0.189663348
30-06-2025,266.8,0.063371861
30-09-2025,258,-0.032983508
31-12-2025,253.6,0.017054264
