Date,Sales,GrowthRate
30-06-2018,584,-0.059698784
30-09-2018,557.1,0.046061644
31-12-2018,591.6,-0.061927841
31-03-2019,597.7,-0.010311021
30-06-2019,677.7,-0.133846411
30-09-2019,700,-0.032905415
31-12-2019,762.5,-0.089285714
31-03-2020,742.2,0.026622951
30-06-2020,594.3,0.199272433
30-09-2020,744.6,-0.252902574
31-12-2020,776.2,-0.042438893
31-03-2021,791.7,-0.01996908
30-06-2021,901.5,-0.138688897
30-09-2021,857.8,0.048474764
31-12-2021,871.5,-0.015971089
31-03-2022,881.3,-0.01124498
30-06-2022,906.9,-0.029047997
30-09-2022,862.3,0.04917852
31-12-2022,867.7,-0.006262322
31-03-2023,947.9,-0.092428259
30-06-2023,991.6,-0.046101909
30-09-2023,960.9,0.030960065
31-12-2023,979.4,-0.019252784
31-03-2024,1007.9,-0.029099449
30-06-2024,1038.6,-0.030459371
30-09-2024,1023.3,0.014731369
31-12-2024,1036.3,-0.012703997
31-03-2025,1046.6,-0.009939207
30-06-2025,1130.9,-0.080546532
30-09-2025,1149.9,-0.016800778
31-12-2025,1160.3,-0.009044265
