Date,Sales,GrowthRate
30-06-2018,0.9,-0.8
30-09-2018,0.7,0.222222222
31-12-2018,0.8,-0.142857143
31-03-2019,4.3,-4.375
30-06-2019,7,-0.627906977
30-09-2019,9.7,-0.385714286
31-12-2019,7.2,0.257731959
31-03-2020,10.5,-0.458333333
30-06-2020,6.1,0.419047619
30-09-2020,12.1,-0.983606557
31-12-2020,13.1,-0.082644628
31-03-2021,16.3,-0.244274809
30-06-2021,22.1,-0.355828221
30-09-2021,22.3,-0.009049774
31-12-2021,25.3,-0.134529148
31-03-2022,27,-0.067193676
30-06-2022,27.9,-0.033333333
30-09-2022,29.7,-0.064516129
31-12-2022,31.5,-0.060606061
31-03-2023,41.6,-0.320634921
30-06-2023,47.6,-0.144230769
30-09-2023,52.4,-0.100840336
31-12-2023,56,-0.06870229
31-03-2024,72.9,-0.301785714
30-06-2024,83,-0.138545953
30-09-2024,91.1,-0.097590361
31-12-2024,105.1,-0.153677278
31-03-2025,115.2,-0.096098953
30-06-2025,134.5,-0.167534722
30-09-2025,145.2,-0.079553903
31-12-2025,155.7,-0.07231405
