Date,Sales,GrowthRate
31-03-2018,12.722,-0.004849812
30-06-2018,13.815,0.085914164
30-09-2018,6.284,-0.545132103
31-12-2018,14.3,1.275620624
31-03-2019,7.189,-0.497272727
30-06-2019,12.001,0.66935596
30-09-2019,13.891,0.157486876
31-12-2019,13.91,0.001367792
31-03-2020,8.035,-0.422358016
30-06-2020,5.442,-0.32271313
30-09-2020,9.035,0.660235208
31-12-2020,18.084,1.00154953
31-03-2021,14.928,-0.174518912
30-06-2021,20.753,0.390206324
30-09-2021,20.243,-0.02457476
31-12-2021,25.398,0.25465593
31-03-2022,13.147,-0.482360816
30-06-2022,29.406,1.236707994
30-09-2022,24.088,-0.180847446
31-12-2022,29.499,0.224634673
31-03-2023,25.081,-0.149767789
30-06-2023,34.76,0.385909653
30-09-2023,27.661,-0.204228999
31-12-2023,32.714,0.18267597
31-03-2024,31.969,-0.022773125
30-06-2024,36.778,0.150426976
30-09-2024,38.303,0.041465006
31-12-2024,46.953,0.225830875
31-03-2025,22.189,-0.527421038
30-06-2025,35.16,0.584568931
30-09-2025,28.039,-0.202531286
31-12-2025,55.621,-0.983701273
