Date,Sales,GrowthRate
30-06-2013,107.009,0.018958655
30-09-2013,107.187,0.001663411
31-12-2013,115.245,0.075177027
31-03-2014,114.21,-0.008980867
30-06-2014,113.573,-0.005577445
30-09-2014,117.787,0.037103889
31-12-2014,128.801,0.093507773
31-03-2015,131.604,0.021762253
30-06-2015,133.57,0.014938756
30-09-2015,136.992,0.025619525
31-12-2015,142.587,0.040841801
31-03-2016,139.264,-0.02330507
30-06-2016,137.489,-0.012745577
30-09-2016,135.651,-0.013368342
31-12-2016,151.59,0.117500055
31-03-2017,155.809,0.027831651
30-06-2017,152.39,-0.021943533
30-09-2017,151.744,-0.004239123
31-12-2017,163.25,0.075825074
31-03-2018,161.689,-0.009562021
30-06-2018,159.569,-0.013111591
30-09-2018,162.952,0.02120086
31-12-2018,181.638,0.114671805
31-03-2019,175.758,-0.032372081
30-06-2019,182.538,0.038575769
30-09-2019,182.324,-0.001172359
31-12-2019,197.757,0.084646015
31-03-2020,182.542,-0.076937858
30-06-2020,143.48,-0.213989109
30-09-2020,207.063,0.443148871
31-12-2020,215.361,0.04007476
31-03-2021,212.416,-0.013674714
30-06-2021,230.263,0.084019095
30-09-2021,209.478,-0.090266348
31-12-2021,224.623,0.072298762
31-03-2022,217.402,-0.032147198
30-06-2022,234.242,0.077460189
30-09-2022,230.06,-0.017853331
31-12-2022,244.999,0.064935234
31-03-2023,251.607,0.026971539
30-06-2023,256.855,0.020857925
30-09-2023,347.46,0.352747659
31-12-2023,583.82,0.680250964
31-03-2024,574.697,-0.015626392
30-06-2024,592.913,0.031696703
30-09-2024,587.402,-0.009294787
31-12-2024,610.34,0.039049918
31-03-2025,575.932,-0.056375135
30-06-2025,710.182,0.233100435
30-09-2025,741.009,0.043407183
31-12-2025,770.799,-0.040201941
