Date,Sales,GrowthRate
31-03-2018,58.7,-0.046345811
30-06-2018,59.7,-0.017035775
30-09-2018,60,-0.005025126
31-12-2018,63.2,-0.053333333
31-03-2019,59.7,0.055379747
30-06-2019,55.4,0.072026801
30-09-2019,63.2,-0.140794224
31-12-2019,65.4,-0.034810127
31-03-2020,64.2,0.018348624
30-06-2020,47.6,0.258566978
30-09-2020,54.4,-0.142857143
31-12-2020,64.7,-0.189338235
31-03-2021,71.8,-0.109737249
30-06-2021,61.9,0.137883008
30-09-2021,54.6,0.117932149
31-12-2021,73.4,-0.344322344
31-03-2022,57.6,0.215258856
30-06-2022,46.7,0.189236111
30-09-2022,38.8,0.169164882
31-12-2022,52.2,-0.345360825
31-03-2023,78,-0.494252874
30-06-2023,65.4,0.161538462
30-09-2023,64.6,0.012232416
31-12-2023,73,-0.13003096
31-03-2024,71.8,0.016438356
30-06-2024,68.8,0.04178273
30-09-2024,64.2,0.066860465
31-12-2024,65.9,-0.026479751
31-03-2025,62.5,0.051593323
30-06-2025,60.5,0.032
30-09-2025,60.4,0.001652893
31-12-2025,60.1,0.004966887
