Date,Sales,GrowthRate
31-03-2018,8.9,-0.186666667
30-06-2018,8.2,0.078651685
30-09-2018,7.7,0.06097561
31-12-2018,8.9,-0.155844156
31-03-2019,8.8,0.011235955
30-06-2019,8.5,0.034090909
30-09-2019,8.6,-0.011764706
31-12-2019,9.2,-0.069767442
31-03-2020,9.2,0
30-06-2020,5.8,0.369565217
30-09-2020,7.5,-0.293103448
31-12-2020,9.8,-0.306666667
31-03-2021,11.6,-0.183673469
30-06-2021,13.9,-0.198275862
30-09-2021,12.2,0.122302158
31-12-2021,14.9,-0.221311475
31-03-2022,13.3,0.10738255
30-06-2022,13.8,-0.037593985
30-09-2022,12.1,0.123188406
31-12-2022,12,0.008264463
31-03-2023,14.1,-0.175
30-06-2023,15,-0.063829787
30-09-2023,14.8,0.013333333
31-12-2023,15.2,-0.027027027
31-03-2024,17.5,-0.151315789
30-06-2024,15.7,0.102857143
30-09-2024,19.2,-0.222929936
31-12-2024,21.2,-0.104166667
31-03-2025,22.3,-0.051886792
30-06-2025,25.1,-0.125560538
30-09-2025,23.9,0.047808765
31-12-2025,24.7,-0.033472803
