Date,Sales,GrowthRate
31-03-2018,39.2,-0.012919897
30-06-2018,41.5,-0.058673469
30-09-2018,38,0.084337349
31-12-2018,38.9,-0.023684211
31-03-2019,38.9,0
30-06-2019,41.8,-0.074550129
30-09-2019,39.5,0.055023923
31-12-2019,43.5,-0.101265823
31-03-2020,40.2,0.075862069
30-06-2020,23.8,0.407960199
30-09-2020,36.3,-0.525210084
31-12-2020,44.7,-0.231404959
31-03-2021,40.4,0.096196868
30-06-2021,42,-0.03960396
30-09-2021,42.2,-0.004761905
31-12-2021,49.8,-0.180094787
31-03-2022,43.3,0.130522088
30-06-2022,41.6,0.03926097
30-09-2022,39.6,0.048076923
31-12-2022,48.6,-0.227272727
31-03-2023,42.9,0.117283951
30-06-2023,47.1,-0.097902098
30-09-2023,44.6,0.053078556
31-12-2023,50.2,-0.125560538
31-03-2024,49.8,0.007968127
30-06-2024,48.9,0.018072289
30-09-2024,47,0.038854806
31-12-2024,49.4,-0.05106383
31-03-2025,47.4,0.04048583
30-06-2025,45.6,0.037974684
30-09-2025,50.1,-0.098684211
31-12-2025,50.8,-0.013972056
