Date,Sales,GrowthRate
31-03-2018,27,-0.093117409
30-06-2018,27.9,-0.033333333
30-09-2018,28.8,-0.032258065
31-12-2018,30.2,-0.048611111
31-03-2019,31,-0.026490066
30-06-2019,32.4,-0.04516129
30-09-2019,31.5,0.027777778
31-12-2019,36.4,-0.155555556
31-03-2020,40.8,-0.120879121
30-06-2020,69.3,-0.698529412
30-09-2020,229.4,-2.31024531
31-12-2020,320,-0.39494333
31-03-2021,319,0.003125
30-06-2021,266.3,0.165203762
30-09-2021,227.3,0.146451371
31-12-2021,285.3,-0.25516938
31-03-2022,298.7,-0.046968104
30-06-2022,131.1,0.561098092
30-09-2022,101.8,0.223493516
31-12-2022,97,0.047151277
31-03-2023,79.2,0.183505155
30-06-2023,62,0.217171717
30-09-2023,62.5,-0.008064516
31-12-2023,72.2,-0.1552
31-03-2024,67.3,0.067867036
30-06-2024,65.3,0.029717682
30-09-2024,68.6,-0.050535988
31-12-2024,78.5,-0.144314869
31-03-2025,67.3,0.142675159
30-06-2025,66.1,0.017830609
30-09-2025,70.1,-0.060514372
31-12-2025,73.9,-0.054208274
