Date,Sales,GrowthRate
31-03-2018,17,-0.0625
30-06-2018,18.7,-0.1
30-09-2018,17.5,0.064171123
31-12-2018,17.3,0.011428571
31-03-2019,18.1,-0.046242775
30-06-2019,19.4,-0.071823204
30-09-2019,19.6,-0.010309278
31-12-2019,20.3,-0.035714286
31-03-2020,18.7,0.078817734
30-06-2020,9.4,0.497326203
30-09-2020,17.6,-0.872340426
31-12-2020,23,-0.306818182
31-03-2021,22.4,0.026086957
30-06-2021,24,-0.071428571
30-09-2021,22.3,0.070833333
31-12-2021,25,-0.121076233
31-03-2022,23.3,0.068
30-06-2022,25.9,-0.111587983
30-09-2022,24.9,0.038610039
31-12-2022,31,-0.24497992
31-03-2023,31.2,-0.006451613
30-06-2023,34.4,-0.102564103
30-09-2023,32.3,0.061046512
31-12-2023,37.1,-0.148606811
31-03-2024,40.4,-0.088948787
30-06-2024,40.8,-0.00990099
30-09-2024,40.5,0.007352941
31-12-2024,44.4,-0.096296296
31-03-2025,45.5,-0.024774775
30-06-2025,52.2,-0.147252747
30-09-2025,47.3,0.093869732
31-12-2025,51.9,-0.097251586
