Date,Sales,GrowthRate
31-03-2018,8.9,-0.459016393
30-06-2018,7.9,0.112359551
30-09-2018,8.9,-0.126582278
31-12-2018,7.9,0.112359551
31-03-2019,10.2,-0.291139241
30-06-2019,9,0.117647059
30-09-2019,9.1,-0.011111111
31-12-2019,8.6,0.054945055
31-03-2020,8.1,0.058139535
30-06-2020,6.2,0.234567901
30-09-2020,6.9,-0.112903226
31-12-2020,9.8,-0.420289855
31-03-2021,8.5,0.132653061
30-06-2021,10.3,-0.211764706
30-09-2021,7.3,0.291262136
31-12-2021,10.3,-0.410958904
31-03-2022,7.1,0.310679612
30-06-2022,9,-0.267605634
30-09-2022,7.6,0.155555556
31-12-2022,9.8,-0.289473684
31-03-2023,12.4,-0.265306122
30-06-2023,10.4,0.161290323
30-09-2023,10.9,-0.048076923
31-12-2023,11.7,-0.073394495
31-03-2024,11.6,0.008547009
30-06-2024,6.6,0.431034483
30-09-2024,2.8,0.575757576
31-12-2024,4.5,-0.607142857
31-03-2025,15.4,-2.422222222
30-06-2025,13.6,0.116883117
30-09-2025,13.4,0.014705882
31-12-2025,12.9,0.037313433
