Date,Sales,GrowthRate
31-03-2018,191.7,-0.06618465
30-06-2018,197.2,-0.028690662
30-09-2018,213.3,-0.081643002
31-12-2018,206.5,0.031879981
31-03-2019,206.2,0.001452785
30-06-2019,214.6,-0.040737148
30-09-2019,225.8,-0.052190121
31-12-2019,209.4,0.072630647
31-03-2020,186,0.111747851
30-06-2020,145.6,0.217204301
30-09-2020,181,-0.243131868
31-12-2020,203,-0.121546961
31-03-2021,198.1,0.024137931
30-06-2021,218.4,-0.102473498
30-09-2021,210.9,0.034340659
31-12-2021,208.9,0.009483167
31-03-2022,187.4,0.102920057
30-06-2022,165.5,0.116862327
30-09-2022,173.3,-0.047129909
31-12-2022,212.2,-0.224466244
31-03-2023,233.5,-0.100377003
30-06-2023,220.7,0.054817987
30-09-2023,217.6,0.014046217
31-12-2023,228.4,-0.049632353
31-03-2024,234.9,-0.028458844
30-06-2024,240.4,-0.023414219
30-09-2024,229.2,0.046589018
31-12-2024,215.7,0.058900524
31-03-2025,209.4,0.029207232
30-06-2025,204.2,0.024832856
30-09-2025,230.9,-0.130754163
31-12-2025,219.9,0.047639671
