Date,Sales,GrowthRate
31-03-2018,40.8,0.085201794
30-06-2018,42.8,-0.049019608
30-09-2018,41.2,0.037383178
31-12-2018,46.1,-0.118932039
31-03-2019,46.8,-0.015184382
30-06-2019,46.9,-0.002136752
30-09-2019,45,0.040511727
31-12-2019,47.1,-0.046666667
31-03-2020,48.4,-0.027600849
30-06-2020,25,0.483471074
30-09-2020,46.1,-0.844
31-12-2020,55.2,-0.197396963
31-03-2021,54.9,0.005434783
30-06-2021,54.8,0.001821494
30-09-2021,56.5,-0.031021898
31-12-2021,62.1,-0.099115044
31-03-2022,52.1,0.161030596
30-06-2022,56.8,-0.090211132
30-09-2022,51.1,0.100352113
31-12-2022,57.8,-0.13111546
31-03-2023,59.8,-0.034602076
30-06-2023,59.2,0.010033445
30-09-2023,55.8,0.057432432
31-12-2023,61.1,-0.094982079
31-03-2024,60.9,0.003273322
30-06-2024,75.8,-0.244663383
30-09-2024,46.8,0.382585752
31-12-2024,66.3,-0.416666667
31-03-2025,62,0.064856712
30-06-2025,75.4,-0.216129032
30-09-2025,78.4,-0.039787798
31-12-2025,71.2,0.091836735
