Date,Sales,GrowthRate
31-03-2018,11.3,0.103174603
30-06-2018,18.6,-0.646017699
30-09-2018,12.8,0.311827957
31-12-2018,14.2,-0.109375
31-03-2019,13.4,0.056338028
30-06-2019,14.2,-0.059701493
30-09-2019,16.7,-0.176056338
31-12-2019,12,0.281437126
31-03-2020,15.2,-0.266666667
30-06-2020,7.8,0.486842105
30-09-2020,8.6,-0.102564103
31-12-2020,8.1,0.058139535
31-03-2021,12,-0.481481481
30-06-2021,13.2,-0.1
30-09-2021,16.3,-0.234848485
31-12-2021,6.4,0.607361963
31-03-2022,9.2,-0.4375
30-06-2022,8.9,0.032608696
30-09-2022,7.9,0.112359551
31-12-2022,7.3,0.075949367
31-03-2023,10.6,-0.452054795
30-06-2023,10.7,-0.009433962
30-09-2023,9.2,0.140186916
31-12-2023,8,0.130434783
31-03-2024,6.9,0.1375
30-06-2024,7.9,-0.144927536
30-09-2024,7.5,0.050632911
31-12-2024,4.1,0.453333333
31-03-2025,9.1,-1.219512195
30-06-2025,7,0.230769231
30-09-2025,8,-0.142857143
31-12-2025,8.4,-0.05
