Date,Sales,GrowthRate
31-03-2018,78.5,0.073199528
30-06-2018,79.6,-0.014012739
30-09-2018,80.1,-0.006281407
31-12-2018,79.2,0.011235955
31-03-2019,76.6,0.032828283
30-06-2019,78.5,-0.024804178
30-09-2019,78.6,-0.001273885
31-12-2019,77.5,0.013994911
31-03-2020,73.2,0.055483871
30-06-2020,40.3,0.449453552
30-09-2020,75.3,-0.868486352
31-12-2020,80.1,-0.06374502
31-03-2021,76.8,0.041198502
30-06-2021,73.9,0.037760417
30-09-2021,73.8,0.00135318
31-12-2021,80.9,-0.096205962
31-03-2022,72.1,0.108776267
30-06-2022,74.3,-0.030513176
30-09-2022,73.1,0.01615074
31-12-2022,78.2,-0.069767442
31-03-2023,69,0.117647059
30-06-2023,79.7,-0.155072464
30-09-2023,70.5,0.115432873
31-12-2023,69.8,0.009929078
31-03-2024,70.7,-0.012893983
30-06-2024,73.3,-0.036775106
30-09-2024,69.5,0.051841746
31-12-2024,76,-0.09352518
31-03-2025,71.1,0.064473684
30-06-2025,75.8,-0.066104079
30-09-2025,73.2,0.034300792
31-12-2025,76,-0.038251366
