Date,Sales,GrowthRate
31-03-2018,123.7,0.001614205
30-06-2018,126.6,-0.023443816
30-09-2018,129.2,-0.020537125
31-12-2018,134.1,-0.037925697
31-03-2019,136.8,-0.020134228
30-06-2019,138.5,-0.012426901
30-09-2019,140.5,-0.014440433
31-12-2019,142.1,-0.0113879
31-03-2020,149.8,-0.054187192
30-06-2020,391,-1.610146862
30-09-2020,589.6,-0.507928389
31-12-2020,675.3,-0.145352782
31-03-2021,616.3,0.087368577
30-06-2021,270.1,0.561739413
30-09-2021,477.2,-0.766753054
31-12-2021,528,-0.106454317
31-03-2022,563.8,-0.06780303
30-06-2022,304.2,0.460446967
30-09-2022,298.5,0.018737673
31-12-2022,328.2,-0.099497487
31-03-2023,263,0.198659354
30-06-2023,240.2,0.086692015
30-09-2023,229.6,0.044129892
31-12-2023,247.6,-0.078397213
31-03-2024,255.4,-0.031502423
30-06-2024,245.4,0.039154268
30-09-2024,250.7,-0.021597392
31-12-2024,262.6,-0.047467092
31-03-2025,258.7,0.014851485
30-06-2025,254.4,0.016621569
30-09-2025,252.7,0.00668239
31-12-2025,255.3,-0.01028888
