Date,Sales,GrowthRate
31-03-2018,82.4,0.099453552
30-06-2018,89,-0.080097087
30-09-2018,89.9,-0.01011236
31-12-2018,91.1,-0.013348165
31-03-2019,84.1,0.076838639
30-06-2019,92.8,-0.103448276
30-09-2019,94.8,-0.021551724
31-12-2019,98.8,-0.042194093
31-03-2020,86.7,0.122469636
30-06-2020,42.1,0.514417532
30-09-2020,82.5,-0.959619952
31-12-2020,101,-0.224242424
31-03-2021,91.8,0.091089109
30-06-2021,103.9,-0.131808279
30-09-2021,99.7,0.040423484
31-12-2021,109.3,-0.096288867
31-03-2022,94,0.139981702
30-06-2022,112.2,-0.193617021
30-09-2022,108.3,0.034759358
31-12-2022,123.1,-0.136657433
31-03-2023,113.6,0.07717303
30-06-2023,122.9,-0.081866197
30-09-2023,115.7,0.058584215
31-12-2023,125.1,-0.081244598
31-03-2024,115.6,0.075939249
30-06-2024,125.8,-0.088235294
30-09-2024,116,0.077901431
31-12-2024,121.9,-0.050862069
31-03-2025,117,0.040196883
30-06-2025,126.2,-0.078632479
30-09-2025,125.3,0.007131537
31-12-2025,128.9,-0.028731045
