Date,Sales,GrowthRate
31-03-2018,15.7,-0.154411765
30-06-2018,14.6,0.070063694
30-09-2018,15.5,-0.061643836
31-12-2018,13.3,0.141935484
31-03-2019,14,-0.052631579
30-06-2019,15.4,-0.1
30-09-2019,15.9,-0.032467532
31-12-2019,14.9,0.062893082
31-03-2020,15.6,-0.046979866
30-06-2020,9,0.423076923
30-09-2020,11.7,-0.3
31-12-2020,15.1,-0.290598291
31-03-2021,14,0.072847682
30-06-2021,15.6,-0.114285714
30-09-2021,16.3,-0.044871795
31-12-2021,16.8,-0.030674847
31-03-2022,13.8,0.178571429
30-06-2022,12.7,0.079710145
30-09-2022,16.3,-0.283464567
31-12-2022,16.8,-0.030674847
31-03-2023,19.2,-0.142857143
30-06-2023,16.7,0.130208333
30-09-2023,17.2,-0.02994012
31-12-2023,13.7,0.203488372
31-03-2024,15.5,-0.131386861
30-06-2024,12.4,0.2
30-09-2024,9.8,0.209677419
31-12-2024,11.3,-0.153061224
31-03-2025,17.6,-0.557522124
30-06-2025,17.7,-0.005681818
30-09-2025,15.9,0.101694915
31-12-2025,13.8,0.132075472
