Date,Sales,GrowthRate
31-03-2018,250.4,-0.061466723
30-06-2018,256.9,-0.025958466
30-09-2018,273.3,-0.063838069
31-12-2018,269.7,0.013172338
31-03-2019,265.9,0.014089729
30-06-2019,270,-0.015419331
30-09-2019,289,-0.07037037
31-12-2019,274.8,0.049134948
31-03-2020,250.2,0.089519651
30-06-2020,193.2,0.227817746
30-09-2020,235.5,-0.218944099
31-12-2020,267.7,-0.136730361
31-03-2021,269.9,-0.008218155
30-06-2021,280.3,-0.03853279
30-09-2021,265.5,0.052800571
31-12-2021,282.3,-0.063276836
31-03-2022,245,0.132128941
30-06-2022,212.2,0.133877551
30-09-2022,212.1,0.000471254
31-12-2022,264.4,-0.246581801
31-03-2023,311.5,-0.178139183
30-06-2023,286.1,0.081540931
30-09-2023,282.2,0.013631597
31-12-2023,301.4,-0.068036853
31-03-2024,306.7,-0.017584605
30-06-2024,309.2,-0.008151288
30-09-2024,293.4,0.051099612
31-12-2024,281.6,0.040218132
31-03-2025,271.9,0.034446023
30-06-2025,264.7,0.026480324
30-09-2025,291.5,-0.101246694
31-12-2025,280,0.039451115
