Date,Sales,GrowthRate
31-03-2018,49.7,0.046065259
30-06-2018,51,-0.049019608
30-09-2018,48.9,0.037383178
31-12-2018,55,-0.118932039
31-03-2019,55.6,-0.015184382
30-06-2019,55.4,-0.002136752
30-09-2019,53.6,0.040511727
31-12-2019,56.3,-0.046666667
31-03-2020,57.6,-0.027600849
30-06-2020,30.8,0.483471074
30-09-2020,53.7,-0.844
31-12-2020,65,-0.197396963
31-03-2021,66.5,0.005434783
30-06-2021,68.7,0.001821494
30-09-2021,68.7,-0.031021898
31-12-2021,77,-0.099115044
31-03-2022,65.4,0.161030596
30-06-2022,70.6,-0.090211132
30-09-2022,63.2,0.100352113
31-12-2022,69.8,-0.13111546
31-03-2023,73.9,-0.034602076
30-06-2023,74.2,0.010033445
30-09-2023,70.6,0.057432432
31-12-2023,76.3,-0.094982079
31-03-2024,77.9,0.003273322
30-06-2024,75.8,-0.244663383
30-09-2024,82.2,0.382585752
31-12-2024,87.5,-0.416666667
31-03-2025,84.3,0.064856712
30-06-2025,100.5,-0.216129032
30-09-2025,102.2,-0.039787798
31-12-2025,95.9,0.091836735
