Date,Sales,GrowthRate
31-03-2018,117.7,0.046191248
30-06-2018,121.1,-0.028887001
30-09-2018,118.1,0.024772915
31-12-2018,118.1,0
31-03-2019,115.5,0.022015241
30-06-2019,120.3,-0.041558442
30-09-2019,118.1,0.018287614
31-12-2019,121,-0.024555461
31-03-2020,113.4,0.062809917
30-06-2020,64.1,0.434744268
30-09-2020,111.4,-0.737909516
31-12-2020,124.8,-0.120287253
31-03-2021,117.2,0.060897436
30-06-2021,115.9,0.01109215
30-09-2021,116,-0.000862813
31-12-2021,130.7,-0.126724138
31-03-2022,115.4,0.117061974
30-06-2022,115.9,-0.004332756
30-09-2022,112.7,0.027610009
31-12-2022,126.8,-0.125110914
31-03-2023,111.9,0.117507886
30-06-2023,126.8,-0.133154602
30-09-2023,115.1,0.092271293
31-12-2023,120,-0.042571677
31-03-2024,120.5,-0.004166667
30-06-2024,122.2,-0.014107884
30-09-2024,116.5,0.046644845
31-12-2024,125.4,-0.07639485
31-03-2025,118.5,0.055023923
30-06-2025,121.4,-0.024472574
30-09-2025,123.1,-0.014003295
31-12-2025,126.8,-0.030056864
