Date,Sales,GrowthRate
31-03-2018,150.7,-0.014131898
30-06-2018,154.5,-0.02521566
30-09-2018,158,-0.022653722
31-12-2018,164.3,-0.039873418
31-03-2019,167.8,-0.021302495
30-06-2019,170.9,-0.018474374
30-09-2019,172,-0.006436513
31-12-2019,178.5,-0.037790698
31-03-2020,190.6,-0.067787115
30-06-2020,460.3,-1.415005247
30-09-2020,818.9,-0.779057137
31-12-2020,995.3,-0.215410917
31-03-2021,935.3,0.060283332
30-06-2021,536.4,0.426494173
30-09-2021,704.5,-0.313385533
31-12-2021,813.3,-0.15443577
31-03-2022,862.5,-0.060494283
30-06-2022,435.3,0.495304348
30-09-2022,400.3,0.080404319
31-12-2022,425.2,-0.062203347
31-03-2023,342.2,0.195202258
30-06-2023,302.8,0.115137347
30-09-2023,291.5,0.037318362
31-12-2023,319.8,-0.097084048
31-03-2024,322.7,-0.009068168
30-06-2024,310.7,0.037186241
30-09-2024,319.3,-0.027679434
31-12-2024,341.1,-0.06827435
31-03-2025,326,0.044268543
30-06-2025,320.5,0.016871166
30-09-2025,323.1,-0.008112324
31-12-2025,329.2,-0.018879604
