Date,Sales,GrowthRate
30-06-2013,75.5,0.029002889
30-09-2013,76.372,0.011549669
31-12-2013,78.5,0.027863615
31-03-2014,71.7,-0.086624204
30-06-2014,78.2,0.090655509
30-09-2014,78.2,0
31-12-2014,84.1,0.07544757
31-03-2015,78.8,-0.063020214
30-06-2015,85.2,0.081218274
30-09-2015,86.5,0.015258216
31-12-2015,98.5,0.138728324
31-03-2016,90.6,-0.080203046
30-06-2016,101.7,0.122516556
30-09-2016,101.2,-0.004916421
31-12-2016,114.6,0.132411067
31-03-2017,101,-0.118673647
30-06-2017,106.3,0.052475248
30-09-2017,104.2,-0.019755409
31-12-2017,107.5,0.031669866
31-03-2018,99.4,-0.075348837
30-06-2018,107.7,0.083501006
30-09-2018,107.4,-0.002785515
31-12-2018,108.4,0.009310987
31-03-2019,102.2,-0.057195572
30-06-2019,112.2,0.097847358
30-09-2019,114.4,0.019607843
31-12-2019,119.1,0.041083916
31-03-2020,105.4,-0.115029387
30-06-2020,51.5,-0.511385199
30-09-2020,100.2,0.945631068
31-12-2020,124,0.23752495
31-03-2021,114.2,-0.079032258
30-06-2021,127.9,0.119964974
30-09-2021,122,-0.046129789
31-12-2021,134.3,0.100819672
31-03-2022,117.3,-0.126582278
30-06-2022,138.1,0.177323103
30-09-2022,133.2,-0.035481535
31-12-2022,154.1,0.156906907
31-03-2023,144.8,-0.060350422
30-06-2023,157.3,0.086325967
30-09-2023,148,-0.059122695
31-12-2023,162.2,0.095945946
31-03-2024,156,-0.038224414
30-06-2024,166.6,0.067948718
30-09-2024,156.5,-0.06062425
31-12-2024,166.3,0.062619808
31-03-2025,162.5,-0.022850271
30-06-2025,178.4,0.097846154
30-09-2025,172.5,-0.033071749
31-12-2025,180.8,-0.048115942
