Date,Sales,GrowthRate
30-06-2013,16,0.027749229
30-09-2013,14.201,-0.1124375
31-12-2013,14.5,0.021054855
31-03-2014,16.3,0.124137931
30-06-2014,16.3,0
30-09-2014,16.4,0.006134969
31-12-2014,15.5,-0.054878049
31-03-2015,17.3,0.116129032
30-06-2015,15.2,-0.121387283
30-09-2015,18.6,0.223684211
31-12-2015,16.9,-0.091397849
31-03-2016,15.2,-0.100591716
30-06-2016,16,0.052631579
30-09-2016,14.5,-0.09375
31-12-2016,14.3,-0.013793103
31-03-2017,14.9,0.041958042
30-06-2017,14.4,-0.033557047
30-09-2017,16.8,0.166666667
31-12-2017,19.7,0.172619048
31-03-2018,24.6,0.248730964
30-06-2018,22.5,-0.085365854
30-09-2018,24.4,0.084444444
31-12-2018,21.2,-0.131147541
31-03-2019,24.2,0.141509434
30-06-2019,24.4,0.008264463
30-09-2019,25,0.024590164
31-12-2019,23.5,-0.06
31-03-2020,23.7,0.008510638
30-06-2020,15.2,-0.358649789
30-09-2020,18.6,0.223684211
31-12-2020,24.9,0.338709677
31-03-2021,22.5,-0.096385542
30-06-2021,25.9,0.151111111
30-09-2021,23.6,-0.088803089
31-12-2021,27.1,0.148305085
31-03-2022,20.9,-0.228782288
30-06-2022,21.7,0.038277512
30-09-2022,23.9,0.101382488
31-12-2022,26.6,0.112970711
31-03-2023,31.6,0.187969925
30-06-2023,27.1,-0.142405063
30-09-2023,28.1,0.036900369
31-12-2023,25.4,-0.096085409
31-03-2024,27.1,0.066929134
30-06-2024,19,-0.298892989
30-09-2024,12.6,-0.336842105
31-12-2024,15.8,0.253968254
31-03-2025,33,1.088607595
30-06-2025,31.3,-0.051515152
30-09-2025,29.2,-0.067092652
31-12-2024,26.7,0.085616438
