Date,Sales,GrowthRate
30-06-2013,325,-0.031746032
29-09-2013,305,0.061538462
29-12-2013,324,-0.062295082
30-03-2014,336,-0.037037037
30-06-2014,353,-0.050595238
30-09-2014,321,0.090651558
31-12-2014,336,-0.046728972
31-03-2015,301,0.104166667
30-06-2015,309,-0.026578073
30-09-2015,285,0.077669903
31-12-2015,210,0.263157895
31-03-2016,212,-0.00952381
30-06-2016,235,-0.108490566
30-09-2016,216,0.080851064
31-12-2016,238,-0.101851852
31-03-2017,270,-0.134453782
30-06-2017,288,-0.066666667
30-09-2017,274,0.048611111
31-12-2017,316,-0.153284672
31-03-2018,336,-0.063291139
30-06-2018,344,-0.023809524
30-09-2018,333,0.031976744
31-12-2018,350,-0.051051051
31-03-2019,389,-0.111428571
30-06-2019,385,0.010282776
30-09-2019,382,0.007792208
31-12-2019,398,-0.041884817
31-03-2020,362,0.090452261
30-06-2020,335,0.074585635
30-09-2020,437,-0.304477612
31-12-2020,460,-0.052631579
31-03-2021,514,-0.117391304
30-06-2021,572,-0.112840467
30-09-2021,513,0.103146853
31-12-2021,536,-0.044834308
31-03-2022,598,-0.115671642
30-06-2022,525,0.122073579
30-09-2022,513,0.022857143
31-12-2022,495,0.035087719
31-03-2023,640,-0.292929293
30-06-2023,712,-0.1125
30-09-2023,667,0.063202247
31-12-2023,698,-0.046476762
31-03-2024,781,-0.118911175
30-06-2024,754,0.034571063
30-09-2024,818,-0.084880637
31-12-2024,841,-0.028117359
31-03-2025,842,-0.001189061
30-06-2025,948,-0.125890736
30-09-2025,908,0.042194093
31-12-2025,925,-0.018722467
