Date,Sales,GrowthRate
30-06-2014,165,-0.050955414
30-09-2014,145,0.121212121
31-12-2014,156,-0.075862069
31-03-2015,143,0.083333333
30-06-2015,143,0
30-09-2015,124,0.132867133
31-12-2015,141,-0.137096774
31-03-2016,139,0.014184397
30-06-2016,152,-0.09352518
30-09-2016,130,0.144736842
31-12-2016,142,-0.092307692
31-03-2017,143,-0.007042254
30-06-2017,142,0.006993007
30-09-2017,133,0.063380282
31-12-2017,149,-0.120300752
31-03-2018,154,-0.033557047
30-06-2018,149,0.032467532
30-09-2018,129,0.134228188
31-12-2018,145,-0.124031008
31-03-2019,148,-0.020689655
30-06-2019,147,0.006756757
30-09-2019,133,0.095238095
31-12-2019,147,-0.105263158
31-03-2020,132,0.102040816
30-06-2020,88,0.333333333
30-09-2020,124,-0.409090909
31-12-2020,143,-0.153225806
31-03-2021,146,-0.020979021
30-06-2021,159,-0.089041096
30-09-2021,146,0.081761006
31-12-2021,151,-0.034246575
31-03-2022,164,-0.086092715
30-06-2022,148,0.097560976
30-09-2022,124,0.162162162
31-12-2022,135,-0.088709677
31-03-2023,149,-0.103703704
30-06-2023,147,0.013422819
30-09-2023,136,0.074829932
31-12-2023,132,0.029411765
31-03-2024,152,-0.151515152
30-06-2024,152,0
30-09-2024,131,0.138157895
31-12-2024,146,-0.114503817
31-03-2025,146,0
30-06-2025,150,-0.02739726
30-09-2025,144,0.04
31-12-2025,154,-0.069444444
