Date,Sales,GrowthRate
30-06-2014,169,0.011695906
30-09-2014,150,0.112426036
31-12-2014,165,-0.1
31-03-2015,150,0.090909091
30-06-2015,150,0
30-09-2015,129,0.14
31-12-2015,151,-0.170542636
31-03-2016,145,0.039735099
30-06-2016,156,-0.075862069
30-09-2016,132,0.153846154
31-12-2016,148,-0.121212121
31-03-2017,152,-0.027027027
30-06-2017,149,0.019736842
30-09-2017,123,0.174496644
31-12-2017,151,-0.227642276
31-03-2018,159,-0.052980132
30-06-2018,153,0.037735849
30-09-2018,126,0.176470588
31-12-2018,153,-0.214285714
31-03-2019,146,0.045751634
30-06-2019,153,-0.047945205
30-09-2019,136,0.111111111
31-12-2019,156,-0.147058824
31-03-2020,130,0.166666667
30-06-2020,66,0.492307692
30-09-2020,102,-0.545454545
31-12-2020,129,-0.264705882
31-03-2021,132,-0.023255814
30-06-2021,140,-0.060606061
30-09-2021,131,0.064285714
31-12-2021,135,-0.030534351
31-03-2022,138,-0.022222222
30-06-2022,133,0.036231884
30-09-2022,115,0.135338346
31-12-2022,122,-0.060869565
31-03-2023,142,-0.163934426
30-06-2023,142,0
30-09-2023,131,0.077464789
31-12-2023,144,-0.099236641
31-03-2024,160,-0.111111111
30-06-2024,163,-0.01875
30-09-2024,140,0.141104294
31-12-2024,160,-0.142857143
31-03-2025,158,0.0125
30-06-2025,164,-0.037974684
30-09-2025,160,0.024390244
31-12-2025,181,-0.13125
