Date,Sales,GrowthRate
30-06-2014,518,-0.059304703
30-09-2014,477,0.079150579
31-12-2014,494,-0.035639413
31-03-2015,434,0.12145749
30-06-2015,446,-0.02764977
30-09-2015,377,0.15470852
31-12-2015,428,-0.135278515
31-03-2016,404,0.056074766
30-06-2016,428,-0.059405941
30-09-2016,398,0.070093458
31-12-2016,415,-0.042713568
31-03-2017,370,0.108433735
30-06-2017,382,-0.032432432
30-09-2017,376,0.015706806
31-12-2017,344,0.085106383
31-03-2018,341,0.00872093
30-06-2018,347,-0.017595308
30-09-2018,313,0.097982709
31-12-2018,335,-0.07028754
31-03-2019,323,0.035820896
30-06-2019,328,-0.015479876
30-09-2019,306,0.067073171
31-12-2019,329,-0.075163399
31-03-2020,280,0.14893617
30-06-2020,230,0.178571429
30-09-2020,295,-0.282608696
31-12-2020,299,-0.013559322
31-03-2021,303,-0.013377926
30-06-2021,343,-0.132013201
30-09-2021,306,0.10787172
31-12-2021,304,0.006535948
31-03-2022,325,-0.069078947
30-06-2022,306,0.058461538
30-09-2022,302,0.013071895
31-12-2022,264,0.125827815
31-03-2023,323,-0.223484848
30-06-2023,335,-0.037151703
30-09-2023,295,0.119402985
31-12-2023,310,-0.050847458
31-03-2024,320,-0.032258065
30-06-2024,314,0.01875
30-09-2024,296,0.057324841
31-12-2024,300,-0.013513514
31-03-2025,283,0.056666667
30-06-2025,304,-0.074204947
30-09-2025,293,0.036184211
31-12-2025,313,-0.068259386
