Date,Sales,GrowthRate
30-06-2014,323,-0.03525641
30-09-2014,300,0.07120743
31-12-2014,287,0.043333333
31-03-2015,292,-0.017421603
30-06-2015,270,0.075342466
30-09-2015,239,0.114814815
31-12-2015,265,-0.108786611
31-03-2016,261,0.01509434
30-06-2016,255,0.022988506
30-09-2016,248,0.02745098
31-12-2016,260,-0.048387097
31-03-2017,251,0.034615385
30-06-2017,253,-0.007968127
30-09-2017,264,-0.043478261
31-12-2017,272,-0.03030303
31-03-2018,289,-0.0625
30-06-2018,281,0.027681661
30-09-2018,259,0.078291815
31-12-2018,271,-0.046332046
31-03-2019,268,0.011070111
30-06-2019,265,0.01119403
30-09-2019,262,0.011320755
31-12-2019,273,-0.041984733
31-03-2020,247,0.095238095
30-06-2020,198,0.198380567
30-09-2020,253,-0.277777778
31-12-2020,268,-0.059288538
31-03-2021,282,-0.052238806
30-06-2021,263,0.067375887
30-09-2021,260,0.011406844
31-12-2021,261,-0.003846154
31-03-2022,273,-0.045977011
30-06-2022,232,0.15018315
30-09-2022,244,-0.051724138
31-12-2022,240,0.016393443
31-03-2023,267,-0.1125
30-06-2023,255,0.04494382
30-09-2023,253,0.007843137
31-12-2023,255,-0.007905138
31-03-2024,261,-0.023529412
30-06-2024,260,0.003831418
30-09-2024,265,-0.019230769
31-12-2024,250,0.056603774
31-03-2025,270,-0.08
30-06-2025,267,0.011111111
30-09-2025,281,-0.052434457
31-12-2025,270,0.039145907
