Date,Sales,GrowthRate
30-06-2014,491,-0.088691796
30-09-2014,456,0.071283096
31-12-2014,497,-0.089912281
31-03-2015,441,0.112676056
30-06-2015,480,-0.088435374
30-09-2015,438,0.0875
31-12-2015,486,-0.109589041
31-03-2016,464,0.04526749
30-06-2016,520,-0.120689655
30-09-2016,494,0.05
31-12-2016,515,-0.042510121
31-03-2017,485,0.058252427
30-06-2017,533,-0.098969072
30-09-2017,525,0.015009381
31-12-2017,593,-0.12952381
31-03-2018,573,0.033726813
30-06-2018,603,-0.052356021
30-09-2018,555,0.07960199
31-12-2018,614,-0.106306306
31-03-2019,576,0.061889251
30-06-2019,633,-0.098958333
30-09-2019,602,0.048973144
31-12-2019,647,-0.074750831
31-03-2020,567,0.123647604
30-06-2020,498,0.121693122
30-09-2020,579,-0.162650602
31-12-2020,660,-0.139896373
31-03-2021,713,-0.08030303
30-06-2021,708,0.007012623
30-09-2021,705,0.004237288
31-12-2021,735,-0.042553191
31-03-2022,729,0.008163265
30-06-2022,702,0.037037037
30-09-2022,701,0.001424501
31-12-2022,653,0.068473609
31-03-2023,673,-0.030627871
30-06-2023,757,-0.124814264
30-09-2023,709,0.06340819
31-12-2023,698,0.01551481
31-03-2024,641,0.081661891
30-06-2024,675,-0.053042122
30-09-2024,661,0.020740741
31-12-2024,673,-0.018154312
31-03-2025,616,0.084695394
30-06-2025,687,-0.11525974
30-09-2025,688,-0.001455604
31-12-2025,687,0.001453488
