Date,Sales,GrowthRate
30-06-2014,843,-0.045905707
30-09-2014,783,0.071174377
31-12-2014,821,-0.04853129
31-03-2015,711,0.133982948
30-06-2015,696,0.021097046
30-09-2015,656,0.057471264
31-12-2015,717,-0.092987805
31-03-2016,651,0.092050209
30-06-2016,706,-0.084485407
30-09-2016,649,0.080736544
31-12-2016,687,-0.058551618
31-03-2017,651,0.052401747
30-06-2017,691,-0.061443932
30-09-2017,675,0.023154848
31-12-2017,718,-0.063703704
31-03-2018,704,0.019498607
30-06-2018,733,-0.041193182
30-09-2018,657,0.103683492
31-12-2018,712,-0.083713851
31-03-2019,665,0.066011236
30-06-2019,794,-0.193984962
30-09-2019,659,0.170025189
31-12-2019,720,-0.092564492
31-03-2020,690,0.041666667
30-06-2020,562,0.185507246
30-09-2020,660,-0.174377224
31-12-2020,767,-0.162121212
31-03-2021,761,0.007822686
30-06-2021,779,-0.023653088
30-09-2021,752,0.03465982
31-12-2021,793,-0.054521277
31-03-2022,784,0.011349306
30-06-2022,756,0.035714286
30-09-2022,737,0.025132275
31-12-2022,731,0.008141113
31-03-2023,785,-0.073871409
30-06-2023,823,-0.048407643
30-09-2023,774,0.059538275
31-12-2023,786,-0.015503876
31-03-2024,788,-0.002544529
30-06-2024,818,-0.038071066
30-09-2024,790,0.034229829
31-12-2024,796,-0.007594937
31-03-2025,778,0.022613065
30-06-2025,825,-0.060411311
30-09-2025,823,0.002424242
31-12-2025,876,-0.064398542
