Date,Sales,GrowthRate
30-06-2014,445,0.063157895
30-09-2014,472,-0.060674157
31-12-2014,451,0.044491525
31-03-2015,378,0.161862528
30-06-2015,403,-0.066137566
30-09-2015,421,-0.044665012
31-12-2015,409,0.028503563
31-03-2016,398,0.026894866
30-06-2016,437,-0.09798995
30-09-2016,462,-0.057208238
31-12-2016,456,0.012987013
31-03-2017,427,0.063596491
30-06-2017,479,-0.121779859
30-09-2017,498,-0.039665971
31-12-2017,510,-0.024096386
31-03-2018,498,0.023529412
30-06-2018,524,-0.052208835
30-09-2018,516,0.015267176
31-12-2018,527,-0.021317829
31-03-2019,502,0.04743833
30-06-2019,509,-0.013944223
30-09-2019,555,-0.090373281
31-12-2019,522,0.059459459
31-03-2020,467,0.105363985
30-06-2020,352,0.246252677
30-09-2020,455,-0.292613636
31-12-2020,507,-0.114285714
31-03-2021,486,0.041420118
30-06-2021,517,-0.063786008
30-09-2021,522,-0.00967118
31-12-2021,518,0.007662835
31-03-2022,510,0.015444015
30-06-2022,520,-0.019607843
30-09-2022,502,0.034615385
31-12-2022,490,0.023904382
31-03-2023,509,-0.03877551
30-06-2023,530,-0.041257367
30-09-2023,529,0.001886792
31-12-2023,508,0.039697543
31-03-2024,472,0.070866142
30-06-2024,509,-0.078389831
30-09-2024,526,-0.033398821
31-12-2024,543,-0.032319392
31-03-2025,467,0.139963168
30-06-2025,536,-0.147751606
30-09-2025,562,-0.048507463
31-12-2025,592,-0.053380783
