Date,Sales,GrowthRate
30-06-2017,171,-1.590909091
30-09-2017,161,0.058479532
31-12-2017,176,-0.093167702
31-03-2018,177,-0.005681818
30-06-2018,190,-0.073446328
30-09-2018,164,0.136842105
31-12-2018,180,-0.097560976
31-03-2019,180,0
30-06-2019,191,-0.061111111
30-09-2019,180,0.057591623
31-12-2019,191,-0.061111111
31-03-2020,160,0.162303665
30-06-2020,96,0.4
30-09-2020,153,-0.59375
31-12-2020,172,-0.124183007
31-03-2021,187,-0.087209302
30-06-2021,199,-0.064171123
30-09-2021,191,0.040201005
31-12-2021,211,-0.104712042
31-03-2022,226,-0.071090047
30-06-2022,225,0.004424779
30-09-2022,186,0.173333333
31-12-2022,202,-0.086021505
31-03-2023,233,-0.153465347
30-06-2023,249,-0.068669528
30-09-2023,218,0.124497992
31-12-2023,210,0.036697248
31-03-2024,238,-0.133333333
30-06-2024,254,-0.067226891
30-09-2024,225,0.114173228
31-12-2024,252,-0.12
31-03-2025,246,0.023809524
30-06-2025,277,-0.12601626
30-09-2025,266,0.039711191
31-12-2025,297,-0.116541353
