Date,Sales,GrowthRate
30-06-2013,204,-0.03030303
29-09-2013,196,0.039215686
29-12-2013,210,-0.071428571
30-03-2014,205,0.023809524
30-06-2014,214,-0.043902439
30-09-2014,221,-0.03271028
31-12-2014,222,-0.004524887
31-03-2015,228,-0.027027027
30-06-2015,235,-0.030701754
30-09-2015,239,-0.017021277
31-12-2015,229,0.041841004
31-03-2016,231,-0.008733624
30-06-2016,235,-0.017316017
30-09-2016,235,0
31-12-2016,247,-0.05106383
31-03-2017,279,-0.129554656
30-06-2017,285,-0.021505376
30-09-2017,279,0.021052632
31-12-2017,305,-0.093189964
31-03-2018,304,0.003278689
30-06-2018,323,-0.0625
30-09-2018,320,0.009287926
31-12-2018,336,-0.05
31-03-2019,343,-0.020833333
30-06-2019,366,-0.067055394
30-09-2019,357,0.024590164
31-12-2019,377,-0.056022409
31-03-2020,365,0.031830239
30-06-2020,255,0.301369863
30-09-2020,399,-0.564705882
31-12-2020,433,-0.085213033
31-03-2021,434,-0.002309469
30-06-2021,475,-0.094470046
30-09-2021,444,0.065263158
31-12-2021,483,-0.087837838
31-03-2022,494,-0.022774327
30-06-2022,525,-0.062753036
30-09-2022,547,-0.041904762
31-12-2022,603,-0.1023766
31-03-2023,863,-0.431177446
30-06-2023,908,-0.052143685
30-09-2023,891,0.018722467
31-12-2023,971,-0.089786756
31-03-2024,1025,-0.05561277
30-06-2024,1119,-0.091707317
30-09-2024,1148,-0.025915996
31-12-2024,1221,-0.06358885
31-03-2025,1261,-0.032760033
30-06-2025,1364,-0.081681205
30-09-2025,1306,0.042521994
31-12-2025,1374,-0.052067381
