Date,Sales,GrowthRate
30-06-2014,187,-0.010810811
30-09-2014,179,0.042780749
31-12-2014,194,-0.083798883
31-03-2015,190,0.020618557
30-06-2015,193,-0.015789474
30-09-2015,185,0.041450777
31-12-2015,213,-0.151351351
31-03-2016,203,0.046948357
30-06-2016,197,0.02955665
30-09-2016,190,0.035532995
31-12-2016,208,-0.094736842
31-03-2017,209,-0.004807692
30-06-2017,208,0.004784689
30-09-2017,195,0.0625
31-12-2017,215,-0.102564103
31-03-2018,209,0.027906977
30-06-2018,211,-0.009569378
30-09-2018,201,0.047393365
31-12-2018,220,-0.094527363
31-03-2019,213,0.031818182
30-06-2019,216,-0.014084507
30-09-2019,204,0.055555556
31-12-2019,230,-0.12745098
31-03-2020,206,0.104347826
30-06-2020,137,0.334951456
30-09-2020,221,-0.613138686
31-12-2020,229,-0.036199095
31-03-2021,210,0.082969432
30-06-2021,234,-0.114285714
30-09-2021,210,0.102564103
31-12-2021,229,-0.09047619
31-03-2022,225,0.017467249
30-06-2022,240,-0.066666667
30-09-2022,228,0.05
31-12-2022,250,-0.096491228
31-03-2023,241,0.036
30-06-2023,250,-0.037344398
30-09-2023,239,0.044
31-12-2023,266,-0.112970711
31-03-2024,270,-0.015037594
30-06-2024,265,0.018518519
30-09-2024,250,0.056603774
31-12-2024,272,-0.088
31-03-2025,263,0.033088235
30-06-2025,271,-0.030418251
30-09-2025,262,0.033210332
31-12-2025,284,-0.083969466
