Date,Sales,GrowthRate
30-06-2014,210,0.049773756
30-09-2014,211,-0.004761905
31-12-2014,236,-0.118483412
31-03-2015,226,0.042372881
30-06-2015,222,0.017699115
30-09-2015,214,0.036036036
31-12-2015,254,-0.186915888
31-03-2016,244,0.039370079
30-06-2016,229,0.06147541
30-09-2016,223,0.026200873
31-12-2016,247,-0.107623318
31-03-2017,246,0.004048583
30-06-2017,236,0.040650407
30-09-2017,220,0.06779661
31-12-2017,246,-0.118181818
31-03-2018,228,0.073170732
30-06-2018,229,-0.004385965
30-09-2018,215,0.061135371
31-12-2018,239,-0.111627907
31-03-2019,223,0.066945607
30-06-2019,218,0.022421525
30-09-2019,209,0.041284404
31-12-2019,239,-0.14354067
31-03-2020,214,0.10460251
30-06-2020,108,0.495327103
30-09-2020,205,-0.898148148
31-12-2020,216,-0.053658537
31-03-2021,185,0.143518519
30-06-2021,210,-0.135135135
30-09-2021,184,0.123809524
31-12-2021,208,-0.130434783
31-03-2022,201,0.033653846
30-06-2022,216,-0.074626866
30-09-2022,203,0.060185185
31-12-2022,231,-0.137931034
31-03-2023,226,0.021645022
30-06-2023,221,0.022123894
30-09-2023,207,0.063348416
31-12-2023,242,-0.169082126
31-03-2024,242,0
30-06-2024,230,0.049586777
30-09-2024,212,0.07826087
31-12-2024,238,-0.122641509
31-03-2025,231,0.029411765
30-06-2025,226,0.021645022
30-09-2025,216,0.044247788
31-12-2025,251,-0.162037037
